,folder,area,basin_level,alpha,p_thd,num_of_masked_basins,thd_low,thd_high,method,neg,stable,pos
0,Permanent_water,permanent_area,6,1,0.01,5270,-16.133603775831975,13.878656901628636,delta,1600,9232,3062
0,Permanent_water,permanent_area,6,1,0.01,5270,-16.133603775831975,13.878656901628636,utest,280,12486,1128
0,Permanent_water,permanent_area,6,1,0.02,5270,-16.133603775831975,13.878656901628636,delta,1600,9232,3062
0,Permanent_water,permanent_area,6,1,0.02,5270,-16.133603775831975,13.878656901628636,utest,430,12064,1400
0,Permanent_water,permanent_area,6,1,0.025,5270,-16.133603775831975,13.878656901628636,delta,1600,9232,3062
0,Permanent_water,permanent_area,6,1,0.025,5270,-16.133603775831975,13.878656901628636,utest,520,11832,1542
0,Permanent_water,permanent_area,6,1,0.05,5270,-16.133603775831975,13.878656901628636,delta,1600,9232,3062
0,Permanent_water,permanent_area,6,1,0.05,5270,-16.133603775831975,13.878656901628636,utest,730,11317,1847
0,Permanent_water,permanent_area,6,1.5,0.01,5270,-23.63666894519713,21.38172207099379,delta,1204,10322,2368
0,Permanent_water,permanent_area,6,1.5,0.01,5270,-23.63666894519713,21.38172207099379,utest,222,12737,935
0,Permanent_water,permanent_area,6,1.5,0.02,5270,-23.63666894519713,21.38172207099379,delta,1204,10322,2368
0,Permanent_water,permanent_area,6,1.5,0.02,5270,-23.63666894519713,21.38172207099379,utest,339,12417,1138
0,Permanent_water,permanent_area,6,1.5,0.025,5270,-23.63666894519713,21.38172207099379,delta,1204,10322,2368
0,Permanent_water,permanent_area,6,1.5,0.025,5270,-23.63666894519713,21.38172207099379,utest,416,12237,1241
0,Permanent_water,permanent_area,6,1.5,0.05,5270,-23.63666894519713,21.38172207099379,delta,1204,10322,2368
0,Permanent_water,permanent_area,6,1.5,0.05,5270,-23.63666894519713,21.38172207099379,utest,571,11858,1465
0,Permanent_water,permanent_area,6,2,0.01,5270,-31.13973411456228,28.88478724035894,delta,956,11036,1902
0,Permanent_water,permanent_area,6,2,0.01,5270,-31.13973411456228,28.88478724035894,utest,183,12932,779
0,Permanent_water,permanent_area,6,2,0.02,5270,-31.13973411456228,28.88478724035894,delta,956,11036,1902
0,Permanent_water,permanent_area,6,2,0.02,5270,-31.13973411456228,28.88478724035894,utest,276,12676,942
0,Permanent_water,permanent_area,6,2,0.025,5270,-31.13973411456228,28.88478724035894,delta,956,11036,1902
0,Permanent_water,permanent_area,6,2,0.025,5270,-31.13973411456228,28.88478724035894,utest,333,12540,1021
0,Permanent_water,permanent_area,6,2,0.05,5270,-31.13973411456228,28.88478724035894,delta,956,11036,1902
0,Permanent_water,permanent_area,6,2,0.05,5270,-31.13973411456228,28.88478724035894,utest,456,12256,1182
0,Permanent_water,permanent_area,6,2.5,0.01,5270,-38.64279928392743,36.38785240972409,delta,769,11530,1595
0,Permanent_water,permanent_area,6,2.5,0.01,5270,-38.64279928392743,36.38785240972409,utest,148,13078,668
0,Permanent_water,permanent_area,6,2.5,0.02,5270,-38.64279928392743,36.38785240972409,delta,769,11530,1595
0,Permanent_water,permanent_area,6,2.5,0.02,5270,-38.64279928392743,36.38785240972409,utest,227,12874,793
0,Permanent_water,permanent_area,6,2.5,0.025,5270,-38.64279928392743,36.38785240972409,delta,769,11530,1595
0,Permanent_water,permanent_area,6,2.5,0.025,5270,-38.64279928392743,36.38785240972409,utest,275,12763,856
0,Permanent_water,permanent_area,6,2.5,0.05,5270,-38.64279928392743,36.38785240972409,delta,769,11530,1595
0,Permanent_water,permanent_area,6,2.5,0.05,5270,-38.64279928392743,36.38785240972409,utest,386,12527,981
0,Permanent_water,permanent_area,6,3,0.01,5270,-46.14586445329259,43.89091757908925,delta,622,11883,1389
0,Permanent_water,permanent_area,6,3,0.01,5270,-46.14586445329259,43.89091757908925,utest,118,13184,592
0,Permanent_water,permanent_area,6,3,0.02,5270,-46.14586445329259,43.89091757908925,delta,622,11883,1389
0,Permanent_water,permanent_area,6,3,0.02,5270,-46.14586445329259,43.89091757908925,utest,183,13017,694
0,Permanent_water,permanent_area,6,3,0.025,5270,-46.14586445329259,43.89091757908925,delta,622,11883,1389
0,Permanent_water,permanent_area,6,3,0.025,5270,-46.14586445329259,43.89091757908925,utest,223,12927,744
0,Permanent_water,permanent_area,6,3,0.05,5270,-46.14586445329259,43.89091757908925,delta,622,11883,1389
0,Permanent_water,permanent_area,6,3,0.05,5270,-46.14586445329259,43.89091757908925,utest,317,12723,854
