,folder,area,basin_level,alpha,p_thd,num_of_masked_basins,thd_low,thd_high,method,neg,stable,pos
0,Reservoirs,permanent_area,6,1,,5270,-1.839555622292712,1.6680865590068301,delta,841,11675,1378
0,Reservoirs,permanent_area,6,1,0.01,5270,-1.839555622292712,1.6680865590068301,utest,96,13464,334
0,Reservoirs,permanent_area,6,1,,5270,-1.839555622292712,1.6680865590068301,delta,841,11675,1378
0,Reservoirs,permanent_area,6,1,0.02,5270,-1.839555622292712,1.6680865590068301,utest,153,13280,461
0,Reservoirs,permanent_area,6,1,,5270,-1.839555622292712,1.6680865590068301,delta,841,11675,1378
0,Reservoirs,permanent_area,6,1,0.025,5270,-1.839555622292712,1.6680865590068301,utest,197,13173,524
0,Reservoirs,permanent_area,6,1,,5270,-1.839555622292712,1.6680865590068301,delta,841,11675,1378
0,Reservoirs,permanent_area,6,1,0.05,5270,-1.839555622292712,1.6680865590068301,utest,310,12935,649
0,Reservoirs,permanent_area,6,1.5,,5270,-2.7164661676175976,2.544997104331716,delta,753,11891,1250
0,Reservoirs,permanent_area,6,1.5,0.01,5270,-2.7164661676175976,2.544997104331716,utest,90,13487,317
0,Reservoirs,permanent_area,6,1.5,,5270,-2.7164661676175976,2.544997104331716,delta,753,11891,1250
0,Reservoirs,permanent_area,6,1.5,0.02,5270,-2.7164661676175976,2.544997104331716,utest,143,13316,435
0,Reservoirs,permanent_area,6,1.5,,5270,-2.7164661676175976,2.544997104331716,delta,753,11891,1250
0,Reservoirs,permanent_area,6,1.5,0.025,5270,-2.7164661676175976,2.544997104331716,utest,185,13217,492
0,Reservoirs,permanent_area,6,1.5,,5270,-2.7164661676175976,2.544997104331716,delta,753,11891,1250
0,Reservoirs,permanent_area,6,1.5,0.05,5270,-2.7164661676175976,2.544997104331716,utest,290,12998,606
0,Reservoirs,permanent_area,6,2,,5270,-3.593376712942483,3.4219076496566014,delta,687,12044,1163
0,Reservoirs,permanent_area,6,2,0.01,5270,-3.593376712942483,3.4219076496566014,utest,87,13507,300
0,Reservoirs,permanent_area,6,2,,5270,-3.593376712942483,3.4219076496566014,delta,687,12044,1163
0,Reservoirs,permanent_area,6,2,0.02,5270,-3.593376712942483,3.4219076496566014,utest,134,13349,411
0,Reservoirs,permanent_area,6,2,,5270,-3.593376712942483,3.4219076496566014,delta,687,12044,1163
0,Reservoirs,permanent_area,6,2,0.025,5270,-3.593376712942483,3.4219076496566014,utest,172,13258,464
0,Reservoirs,permanent_area,6,2,,5270,-3.593376712942483,3.4219076496566014,delta,687,12044,1163
0,Reservoirs,permanent_area,6,2,0.05,5270,-3.593376712942483,3.4219076496566014,utest,275,13045,574
0,Reservoirs,permanent_area,6,2.5,,5270,-4.470287258267368,4.298818194981487,delta,616,12160,1118
0,Reservoirs,permanent_area,6,2.5,0.01,5270,-4.470287258267368,4.298818194981487,utest,81,13520,293
0,Reservoirs,permanent_area,6,2.5,,5270,-4.470287258267368,4.298818194981487,delta,616,12160,1118
0,Reservoirs,permanent_area,6,2.5,0.02,5270,-4.470287258267368,4.298818194981487,utest,126,13366,402
0,Reservoirs,permanent_area,6,2.5,,5270,-4.470287258267368,4.298818194981487,delta,616,12160,1118
0,Reservoirs,permanent_area,6,2.5,0.025,5270,-4.470287258267368,4.298818194981487,utest,163,13279,452
0,Reservoirs,permanent_area,6,2.5,,5270,-4.470287258267368,4.298818194981487,delta,616,12160,1118
0,Reservoirs,permanent_area,6,2.5,0.05,5270,-4.470287258267368,4.298818194981487,utest,260,13077,557
0,Reservoirs,permanent_area,6,3,,5270,-5.3471978035922545,5.175728740306373,delta,568,12263,1063
0,Reservoirs,permanent_area,6,3,0.01,5270,-5.3471978035922545,5.175728740306373,utest,78,13530,286
0,Reservoirs,permanent_area,6,3,,5270,-5.3471978035922545,5.175728740306373,delta,568,12263,1063
0,Reservoirs,permanent_area,6,3,0.02,5270,-5.3471978035922545,5.175728740306373,utest,122,13380,392
0,Reservoirs,permanent_area,6,3,,5270,-5.3471978035922545,5.175728740306373,delta,568,12263,1063
0,Reservoirs,permanent_area,6,3,0.025,5270,-5.3471978035922545,5.175728740306373,utest,155,13297,442
0,Reservoirs,permanent_area,6,3,,5270,-5.3471978035922545,5.175728740306373,delta,568,12263,1063
0,Reservoirs,permanent_area,6,3,0.05,5270,-5.3471978035922545,5.175728740306373,utest,244,13106,544
