,folder,area,basin_level,alpha,p_thd,num_of_masked_basins,thd_low,thd_high,method,neg,stable,pos
0,Reservoirs,seasonal_area,6,1,,5270,-4.0739569791687,4.20396958037566,delta,781,11258,1855
0,Reservoirs,seasonal_area,6,1,0.01,5270,-4.0739569791687,4.20396958037566,utest,36,13647,211
0,Reservoirs,seasonal_area,6,1,,5270,-4.0739569791687,4.20396958037566,delta,781,11258,1855
0,Reservoirs,seasonal_area,6,1,0.02,5270,-4.0739569791687,4.20396958037566,utest,67,13482,345
0,Reservoirs,seasonal_area,6,1,,5270,-4.0739569791687,4.20396958037566,delta,781,11258,1855
0,Reservoirs,seasonal_area,6,1,0.025,5270,-4.0739569791687,4.20396958037566,utest,91,13355,448
0,Reservoirs,seasonal_area,6,1,,5270,-4.0739569791687,4.20396958037566,delta,781,11258,1855
0,Reservoirs,seasonal_area,6,1,0.05,5270,-4.0739569791687,4.20396958037566,utest,157,13070,667
0,Reservoirs,seasonal_area,6,1.5,,5270,-6.143438619054789,6.27345122026175,delta,679,11490,1725
0,Reservoirs,seasonal_area,6,1.5,0.01,5270,-6.143438619054789,6.27345122026175,utest,35,13650,209
0,Reservoirs,seasonal_area,6,1.5,,5270,-6.143438619054789,6.27345122026175,delta,679,11490,1725
0,Reservoirs,seasonal_area,6,1.5,0.02,5270,-6.143438619054789,6.27345122026175,utest,66,13488,340
0,Reservoirs,seasonal_area,6,1.5,,5270,-6.143438619054789,6.27345122026175,delta,679,11490,1725
0,Reservoirs,seasonal_area,6,1.5,0.025,5270,-6.143438619054789,6.27345122026175,utest,90,13361,443
0,Reservoirs,seasonal_area,6,1.5,,5270,-6.143438619054789,6.27345122026175,delta,679,11490,1725
0,Reservoirs,seasonal_area,6,1.5,0.05,5270,-6.143438619054789,6.27345122026175,utest,151,13086,657
0,Reservoirs,seasonal_area,6,2,,5270,-8.21292025894088,8.34293286014784,delta,601,11669,1624
0,Reservoirs,seasonal_area,6,2,0.01,5270,-8.21292025894088,8.34293286014784,utest,35,13650,209
0,Reservoirs,seasonal_area,6,2,,5270,-8.21292025894088,8.34293286014784,delta,601,11669,1624
0,Reservoirs,seasonal_area,6,2,0.02,5270,-8.21292025894088,8.34293286014784,utest,66,13491,337
0,Reservoirs,seasonal_area,6,2,,5270,-8.21292025894088,8.34293286014784,delta,601,11669,1624
0,Reservoirs,seasonal_area,6,2,0.025,5270,-8.21292025894088,8.34293286014784,utest,90,13366,438
0,Reservoirs,seasonal_area,6,2,,5270,-8.21292025894088,8.34293286014784,delta,601,11669,1624
0,Reservoirs,seasonal_area,6,2,0.05,5270,-8.21292025894088,8.34293286014784,utest,147,13101,646
0,Reservoirs,seasonal_area,6,2.5,,5270,-10.28240189882697,10.41241450003393,delta,524,11857,1513
0,Reservoirs,seasonal_area,6,2.5,0.01,5270,-10.28240189882697,10.41241450003393,utest,33,13656,205
0,Reservoirs,seasonal_area,6,2.5,,5270,-10.28240189882697,10.41241450003393,delta,524,11857,1513
0,Reservoirs,seasonal_area,6,2.5,0.02,5270,-10.28240189882697,10.41241450003393,utest,61,13501,332
0,Reservoirs,seasonal_area,6,2.5,,5270,-10.28240189882697,10.41241450003393,delta,524,11857,1513
0,Reservoirs,seasonal_area,6,2.5,0.025,5270,-10.28240189882697,10.41241450003393,utest,84,13379,431
0,Reservoirs,seasonal_area,6,2.5,,5270,-10.28240189882697,10.41241450003393,delta,524,11857,1513
0,Reservoirs,seasonal_area,6,2.5,0.05,5270,-10.28240189882697,10.41241450003393,utest,140,13124,630
0,Reservoirs,seasonal_area,6,3,,5270,-12.351883538713059,12.48189613992002,delta,454,12021,1419
0,Reservoirs,seasonal_area,6,3,0.01,5270,-12.351883538713059,12.48189613992002,utest,31,13661,202
0,Reservoirs,seasonal_area,6,3,,5270,-12.351883538713059,12.48189613992002,delta,454,12021,1419
0,Reservoirs,seasonal_area,6,3,0.02,5270,-12.351883538713059,12.48189613992002,utest,58,13515,321
0,Reservoirs,seasonal_area,6,3,,5270,-12.351883538713059,12.48189613992002,delta,454,12021,1419
0,Reservoirs,seasonal_area,6,3,0.025,5270,-12.351883538713059,12.48189613992002,utest,79,13397,418
0,Reservoirs,seasonal_area,6,3,,5270,-12.351883538713059,12.48189613992002,delta,454,12021,1419
0,Reservoirs,seasonal_area,6,3,0.05,5270,-12.351883538713059,12.48189613992002,utest,132,13150,612
