,folder,area,basin_level,start_year,alpha,p_thd,thd_low,thd_high,method,neg,stable,pos,dry_basins,num_of_masked_basins
0,Permanent_water,permanent_area,6,2017,1.5,0.025,-22.36525217328612,20.828431230414925,utest,435,11666,1264,529,5270
0,Permanent_water,seasonal_area,6,2017,1.5,0.025,-33.25066389242115,38.70342450846335,utest,75,9868,3831,120,5270
0,Reservoirs,permanent_area,6,2017,1.0,0.025,-1.839555622292712,1.66808655900683,utest,197,2322,524,10851,5270
0,Reservoirs,seasonal_area,6,2017,1.0,0.025,-4.0739569791687,4.20396958037566,utest,91,2569,448,10786,5270
0,Permanent_water,permanent_area,6,2015,1.5,0.025,-22.36525217328612,20.828431230414925,utest,418,12094,853,529,5270
0,Permanent_water,seasonal_area,6,2015,1.5,0.025,-33.25066389242115,38.70342450846335,utest,64,11323,2387,120,5270
0,Reservoirs,permanent_area,6,2015,1.0,0.025,-1.839555622292712,1.66808655900683,utest,154,2457,432,10851,5270
0,Reservoirs,seasonal_area,6,2015,1.0,0.025,-4.0739569791687,4.20396958037566,utest,79,2693,336,10786,5270
0,Permanent_water,permanent_area,6,2010,1.5,0.025,-22.36525217328612,20.828431230414925,utest,71,13246,48,529,5270
0,Permanent_water,seasonal_area,6,2010,1.5,0.025,-33.25066389242115,38.70342450846335,utest,22,13731,21,120,5270
0,Reservoirs,permanent_area,6,2010,1.0,0.025,-1.839555622292712,1.66808655900683,utest,10,2981,52,10851,5270
0,Reservoirs,seasonal_area,6,2010,1.0,0.025,-4.0739569791687,4.20396958037566,utest,22,3075,11,10786,5270
