SDG_region,count_basins_plus_2000_2004,count_basins_negative_2000_2004,count_basins_plus_2005_2009,count_basins_negative_2005_2009,count_basins_plus_2010_2014,count_basins_negative_2010_2014,count_basins_plus_2015_2019,count_basins_negative_2015_2019,count_basins_plus_2017_2021,count_basins_negative_2017_2021,total_basins
Australia and New Zealand (M49),16,0,0,1,1,0,5,1,12,2,1025
Central Asia (M49) and Southern Asia (MDG=M49),0,139,5,0,0,1,246,0,409,1,1607
Eastern Asia (M49) and South-eastern Asia (MDG=M49),12,62,1,4,0,4,423,8,684,9,2224
Latin America and the Caribbean (MDG=M49),5,22,2,10,3,16,303,14,377,41,2652
Northern America (M49) and Europe (M49),1,128,0,15,12,4,1065,23,1888,15,6211
Oceania (M49) excluding Australia and New Zealand (M49),0,2,0,0,0,0,55,0,49,0,101
Others,0,0,0,0,0,0,4,0,4,0,10
Sub-Saharan Africa (M49),4,116,0,19,4,1,681,10,1039,8,3592
Western Asia (M49) and Northern Africa (M49),2,69,2,5,3,0,191,23,257,8,1741
World,40,538,10,54,23,26,2973,79,4719,84,19163
