adm0_code,adm0_name,SDG_region,delta_2000_2004,delta_2005_2009,delta_2010_2014,delta_2015_2019,delta_2017_2021,count_basins_plus_2000_2004,count_basins_negative_2000_2004,count_basins_plus_2005_2009,count_basins_negative_2005_2009,count_basins_plus_2010_2014,count_basins_negative_2010_2014,count_basins_plus_2015_2019,count_basins_negative_2015_2019,count_basins_plus_2017_2021,count_basins_negative_2017_2021,total_basins
4,Afghanistan,Central Asia (M49) and Southern Asia (MDG=M49),31.01182286279211,-3.004938324973977,-0.7090768700461456,-0.6771514552651505,-0.6771514552651505,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,124.0
8,Albania,Northern America (M49) and Europe (M49),-1.72387124755101,-1.5394857766001424,0.7342341840494475,4.304718674886358,5.125107198896252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,9.0
12,Algeria,Western Asia (M49) and Northern Africa (M49),-29.996204095557744,-12.895830146213106,25.7544649698296,4.0578938332848224,1.30969002311814,0.0,12.0,0.0,0.0,0.0,0.0,6.0,1.0,5.0,1.0,321.0
16,American Samoa,Oceania (M49) excluding Australia and New Zealand (M49),5.962080501483124,-7.614907836890285,-2.6796523486750314,7.027561800931857,9.191180109218523,,,,,,,,,,,
20,Andorra,Northern America (M49) and Europe (M49),0.699179894636679,3.627444012689671,-0.5907807290235042,-13.642098962417467,-17.432527212992884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
24,Angola,Sub-Saharan Africa (M49),-1.5153648769564754,1.266801188783222,1.71764210496187,-0.8067953364903107,2.841165855319,2.0,5.0,0.0,0.0,1.0,0.0,9.0,4.0,12.0,3.0,152.0
28,Antigua and Barbuda,Latin America and the Caribbean (MDG=M49),-10.891615081193622,9.698682590182331,1.4448173522505596,-4.061238944263424,2.342369246016524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
31,Azerbaijan,Western Asia (M49) and Northern Africa (M49),-2.473290706047373,-0.7366254677069692,0.3039102404926709,14.317090508028896,14.23578069257523,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,7.0,22.0
32,Argentina,Latin America and the Caribbean (MDG=M49),10.914622658736327,0.0248135437495903,-13.826651000193682,-0.0248135437495767,-4.750420251120803,22.0,1.0,4.0,6.0,0.0,18.0,20.0,13.0,12.0,31.0,388.0
36,Australia,Australia and New Zealand (M49),1.4982605333620331,-7.613485090045674,12.568330621408402,-4.957949352551772,-3.3435110822704743,9.0,13.0,1.0,11.0,8.0,5.0,12.0,13.0,40.0,10.0,986.0
40,Austria,Northern America (M49) and Europe (M49),-0.886780249217535,-0.1879856317312768,0.2122049848576819,0.5053369759380208,0.7329434226103406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0
44,Bahamas,Latin America and the Caribbean (MDG=M49),-5.128436948166531,-1.841027260075896,6.189503985890964,17.29713312380123,16.269775312214623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
48,Bahrain,Western Asia (M49) and Northern Africa (M49),38.9169511474876,21.88954247290242,-24.81468466432676,-4.453626244614263,-6.404811095439247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
50,Bangladesh,Central Asia (M49) and Southern Asia (MDG=M49),11.316938082843118,7.557238003787509,-11.758726894387545,-3.817079312618553,0.3979119397000008,8.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,3.0,2.0,32.0
51,Armenia,Western Asia (M49) and Northern Africa (M49),-1.5919876475897492,-0.2892246631843064,0.2462961938610628,0.6315873251661106,0.6619659618346577,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0
52,Barbados,Latin America and the Caribbean (MDG=M49),-7.827550008950336,7.903259644433634,2.3841933483868245,-9.649618070955997,-0.1359643174401462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
56,Belgium,Northern America (M49) and Europe (M49),-1.9298848746776325,-4.549970619038525,0.841701333448644,1.9546101161852325,4.19050062571193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
60,Bermuda,Northern America (M49) and Europe (M49),0.1069356783141832,-8.16955649227741,-2.9807515541102414,7.412886679238355,13.720412661389023,,,,,,,,,,,
64,Bhutan,Central Asia (M49) and Southern Asia (MDG=M49),-4.985971470689965,1.6519208957800458,3.30608169161985,-1.4085653716546749,-3.599622324804148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
68,Bolivia (Plurinational State of),Latin America and the Caribbean (MDG=M49),4.561686911037554,6.238141965873438,4.999889971764811,-14.523033711349376,-15.99225587263521,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,1.0,76.0
70,Bosnia and Herzegovina,Northern America (M49) and Europe (M49),-1.5124577543947728,-3.970701716140728,-1.5854001763520555,5.234649442530239,0.7278983358982617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
72,Botswana,Sub-Saharan Africa (M49),-28.118291308992287,-33.28179412023591,109.88055252843192,72.35813356191841,100.920789130191,0.0,5.0,0.0,0.0,5.0,0.0,2.0,1.0,2.0,2.0,98.0
76,Brazil,Latin America and the Caribbean (MDG=M49),0.1149226458322907,1.417659373937031,1.2321859692142354,-2.282959022316864,-1.150899570926082,12.0,10.0,11.0,4.0,4.0,7.0,33.0,82.0,68.0,63.0,1109.0
84,Belize,Latin America and the Caribbean (MDG=M49),-0.0949599197729132,1.0387289117373184,0.0949599197729132,-0.1930866620692866,-0.4856792368477113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
90,Solomon Islands,Oceania (M49) excluding Australia and New Zealand (M49),-36.10272051799436,-32.753962027842384,1.3649485031379995,396.0988625998891,396.0988625998891,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,1.0,10.0
92,British Virgin Islands,Latin America and the Caribbean (MDG=M49),2.485469531080241,-2.442884555784304,-0.2499310697682834,4.231033364913853,4.558539546975386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
96,Brunei Darussalam,Eastern Asia (M49) and South-eastern Asia (MDG=M49),0.0032357670969178,-2.2582050632611925,1.5952300547571054,3.193222704547196,17.325546826008026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
100,Bulgaria,Northern America (M49) and Europe (M49),-3.8359106249506456,0.2187575414883635,2.573197230652368,1.9497355391242583,-0.3871605990846601,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,21.0
104,Myanmar,Eastern Asia (M49) and South-eastern Asia (MDG=M49),-9.653097789410229,2.5243787524058536,-1.0136503032966298,6.275108692643427,6.275108692643427,0.0,10.0,1.0,0.0,0.0,0.0,8.0,2.0,8.0,3.0,97.0
108,Burundi,Sub-Saharan Africa (M49),-0.0056574351760897,-0.1324382018126323,0.0056574351760897,0.1093473134198512,0.1093473134198512,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7.0
112,Belarus,Northern America (M49) and Europe (M49),-0.673800964451279,0.0557166737750826,0.6000657158841607,-0.0557166737750826,-1.4344729597279822,0.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,4.0,1.0,47.0
116,Cambodia,Eastern Asia (M49) and South-eastern Asia (MDG=M49),-0.0397281469005948,0.0397281469005811,0.8333455969626288,-1.172552898658889,0.0689641814998878,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,6.0,0.0,29.0
120,Cameroon,Sub-Saharan Africa (M49),-0.2128019796611418,1.0696565070358184,4.253581710873599,-4.359604840924549,-10.278271390653552,1.0,1.0,0.0,0.0,0.0,0.0,9.0,8.0,8.0,6.0,83.0
124,Canada,Northern America (M49) and Europe (M49),-0.6152116393338932,0.0661217400885428,-0.3374426660721988,0.0275101149079815,0.1875841803300199,0.0,21.0,0.0,3.0,0.0,0.0,16.0,1.0,6.0,6.0,1397.0
132,Cabo Verde,Sub-Saharan Africa (M49),20.162961458189603,10.313961491965012,1.3285194263633815,-28.76980279836353,-25.89550028464025,,,,,,,,,,,
136,Cayman Islands,Latin America and the Caribbean (MDG=M49),-16.286300178736127,-1.8893623115454927,5.57525463021434,29.39796347858087,32.10071796687524,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0
140,Central African Republic,Sub-Saharan Africa (M49),0.081623450959912,0.2454982299462313,-0.4265329492833399,1.0816685252125389,1.7663137269120202,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,5.0,2.0,100.0
144,Sri Lanka,Central Asia (M49) and Southern Asia (MDG=M49),-4.087204308554713,-1.4495160914351777,2.303258073982944,3.404014863146368,3.404014863146368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
148,Chad,Sub-Saharan Africa (M49),1.6538194713199432,-2.405026804754689,-2.728727445465548,9.378312215802149,18.47114864938292,0.0,2.0,0.0,0.0,0.0,0.0,5.0,1.0,10.0,1.0,193.0
152,Chile,Latin America and the Caribbean (MDG=M49),-0.4687384053836301,0.4834508935843747,-4.3867846510741175e-05,0.2983015494703573,1.0801939591514695,4.0,5.0,0.0,0.0,0.0,2.0,3.0,5.0,7.0,4.0,132.0
156,China,Eastern Asia (M49) and South-eastern Asia (MDG=M49),-6.115320123562394,-1.5767716767177795,2.048739265018916,6.407606930495308,7.3795186555808785,21.0,78.0,2.0,8.0,3.0,4.0,211.0,11.0,294.0,14.0,1240.0
162,Christmas Island,Australia and New Zealand (M49),0.0,0.0,0.0,158284.643548541,87935.17481535599,,,,,,,,,,,
166,Cocos (Keeling) Islands,Australia and New Zealand (M49),0.0,0.0,0.0,8744.503138585998,0.0,,,,,,,,,,,
170,Colombia,Latin America and the Caribbean (MDG=M49),-5.235460490602058,9.665599935459458,2.390453591854888,-9.79842948649831,-2.720826333185878,0.0,2.0,0.0,1.0,1.0,0.0,0.0,9.0,6.0,11.0,119.0
174,Comoros,Sub-Saharan Africa (M49),-1.051597914373108,5.442065445695349,1.0515979143731204,-28.614428860807656,29.10640138662588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
175,Mayotte,Sub-Saharan Africa (M49),15.781824704465858,-1.162958533458286,12.18257100662906,-4.20884865920355,-4.20884865920355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
178,Congo,Sub-Saharan Africa (M49),-0.8271778198314067,0.9957617422010696,0.0534718834292824,1.0315425205839608,-1.2902472270977343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,64.0
180,Democratic Republic of the Congo,Sub-Saharan Africa (M49),0.1935284122645543,-0.3696188657291455,-0.0142522760600067,0.4503779783898138,0.6602156895734277,0.0,0.0,0.0,0.0,1.0,0.0,6.0,4.0,12.0,4.0,236.0
184,Cook Islands,Oceania (M49) excluding Australia and New Zealand (M49),45.02115843743103,-62.07834719243842,-84.82403418494862,77.3554068840045,82.61674964664675,,,,,,,,,,,
188,Costa Rica,Latin America and the Caribbean (MDG=M49),13.48252613898132,-1.6897608350175186,0.2568361155040727,-1.4738612020530135,2.9421163643839137,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,19.0
191,Croatia,Northern America (M49) and Europe (M49),-0.6922330626611128,-6.226131818894966,-3.5293749180066216,1.1923420379620226,1.1923420379620226,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,21.0
192,Cuba,Latin America and the Caribbean (MDG=M49),-11.462714232237662,2.489615763188403,-0.5935363145378404,3.225710918241189,16.169036336577523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,10.0
196,Cyprus,Western Asia (M49) and Northern Africa (M49),-10.201153908653788,-13.607002903657849,14.083204234903048,0.8552464488022591,33.88663271895571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
203,Czechia,Northern America (M49) and Europe (M49),-5.376934465176509,0.0942340208173962,-0.0942340208173962,5.33555242946365,5.586088445763208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0
204,Benin,Sub-Saharan Africa (M49),2.481794120548982,-0.4706794841046672,2.677670227833,-0.7727678291567532,-0.7727678291567532,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,31.0
208,Denmark,Northern America (M49) and Europe (M49),-5.145624699169795,-1.7377639445533986,0.1697336751053039,2.9277066895829,2.9277066895829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
212,Dominica,Latin America and the Caribbean (MDG=M49),46.460886315235854,9.769834017515365,-51.35229197251713,-58.44275233988829,-44.87076643131085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
214,Dominican Republic,Latin America and the Caribbean (MDG=M49),-35.06976354049665,-19.37332203733643,7.040972146127229,1.1888978335787186,-0.5537795138565883,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
218,Ecuador,Latin America and the Caribbean (MDG=M49),-6.822398447931614,-3.531414711430878,2.000937271599452,1.00084734960195,7.290858300006541,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,5.0,1.0,24.0
222,El Salvador,Latin America and the Caribbean (MDG=M49),-0.1274773015882911,0.1289291765076618,-1.682927878482467,0.5789037319747323,0.7101458453930519,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,5.0
226,Equatorial Guinea,Sub-Saharan Africa (M49),3.302469858876945,-1.4706632381626472,19.99875002784501,-14.757842266802006,-14.757842266802006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0
231,Ethiopia,Sub-Saharan Africa (M49),0.6611884778266819,-1.548694179849571,-0.0652183545513255,0.5328155456518454,0.7102277067442837,3.0,5.0,0.0,3.0,0.0,0.0,12.0,9.0,14.0,4.0,172.0
232,Eritrea,Sub-Saharan Africa (M49),-6.153359912495815,-6.3539275927557215,-0.1560286890654448,41.86702047694919,49.14469114675427,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,5.0,0.0,28.0
233,Estonia,Northern America (M49) and Europe (M49),0.2804763295987499,0.057951081299793,-0.226688828928298,0.0331362511599329,0.1082931931766454,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
234,Faroe Islands,Northern America (M49) and Europe (M49),0.0,0.0,0.0,75475022.78623639,98061306.2758496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
238,Falkland Islands (Malvinas),Latin America and the Caribbean (MDG=M49),-0.6975592339564721,0.664363496057981,0.1201978566004206,-0.9041539985730191,1.3477607693410307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
239,South Georgia and the South Sandwich Islands,Latin America and the Caribbean (MDG=M49),-6.528945755759939,-34.26577279365619,-41.93353973276583,209.2922131066665,221.1077614628286,,,,,,,,,,,
242,Fiji,Oceania (M49) excluding Australia and New Zealand (M49),6.820436929929907,-3.723460129776096,-1.2846298866077177,5.123711577796824,25.02383263744496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
246,Finland,Northern America (M49) and Europe (M49),-1.2196808955210638,-0.3150525061361439,-0.3137497192604995,1.1855099030876377,1.3881411296671011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0
248,Åland Islands,Northern America (M49) and Europe (M49),2.577397375629014,0.8024936536930227,-0.571324817052581,-2.2300027593975367,-0.3525939651901894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
