adm0_code,adm0_name,SDG_region,delta_2000_2004,delta_2005_2009,delta_2010_2014,delta_2015_2019,delta_2017_2021,count_basins_plus_2000_2004,count_basins_negative_2000_2004,count_basins_plus_2005_2009,count_basins_negative_2005_2009,count_basins_plus_2010_2014,count_basins_negative_2010_2014,count_basins_plus_2015_2019,count_basins_negative_2015_2019,count_basins_plus_2017_2021,count_basins_negative_2017_2021,total_basins
4,Afghanistan,Central Asia (M49) and Southern Asia (MDG=M49),-9.026657737103628,8.412888453346158,0.0200088425547202,4.3610569084990285,4.3610569084990285,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,124.0
8,Albania,Northern America (M49) and Europe (M49),-2.197399763286322,-0.9908241558720756,0.9908241558720566,6.802921165772598,9.631404227342497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
12,Algeria,Western Asia (M49) and Northern Africa (M49),-38.70798294466361,-19.13992184300736,10.830582254016456,2.679170425746868,-0.1537573607006123,0.0,7.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,321.0
16,American Samoa,Oceania (M49) excluding Australia and New Zealand (M49),0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
20,Andorra,Northern America (M49) and Europe (M49),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
24,Angola,Sub-Saharan Africa (M49),-11.021148736743228,3.2188661243714725,-0.2937111510910187,-9.439947832604089,11.81466539180142,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,152.0
28,Antigua and Barbuda,Latin America and the Caribbean (MDG=M49),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
31,Azerbaijan,Western Asia (M49) and Northern Africa (M49),0.3274111447533453,4.912742914750363,-0.3274111447533646,-3.62754989670888,-7.681550657486009,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,4.0,22.0
32,Argentina,Latin America and the Caribbean (MDG=M49),-0.9051746178429572,-1.0663040195949565,-0.911992927603997,1.1787104225442464,0.1200711754643513,0.0,4.0,1.0,1.0,0.0,0.0,4.0,0.0,1.0,5.0,388.0
36,Australia,Australia and New Zealand (M49),1.778095572612918,-5.713865802592345,8.8072274815967,2.171051520098928,-0.6902116471070947,1.0,2.0,1.0,7.0,3.0,0.0,3.0,2.0,4.0,4.0,986.0
40,Austria,Northern America (M49) and Europe (M49),0.3161281772590223,0.2829598472016553,-0.0022613106837222,-0.1319171467516998,-0.1159267218352973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,19.0
44,Bahamas,Latin America and the Caribbean (MDG=M49),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
48,Bahrain,Western Asia (M49) and Northern Africa (M49),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
50,Bangladesh,Central Asia (M49) and Southern Asia (MDG=M49),2.1091654532176864,-1.3312213660776433,-2.4342136815707573,0.9709428906449192,0.9709428906449192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0
51,Armenia,Western Asia (M49) and Northern Africa (M49),8.80825321504292,9.578447523552686,-1.2866435312637254,-15.916507589420092,-17.037538455011596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,9.0
52,Barbados,Latin America and the Caribbean (MDG=M49),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
56,Belgium,Northern America (M49) and Europe (M49),0.1399914598090132,-0.9554287033031252,1.6180513954867437,-0.6667701075155548,2.216977540619144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
60,Bermuda,Northern America (M49) and Europe (M49),0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
64,Bhutan,Central Asia (M49) and Southern Asia (MDG=M49),-92.61937152306184,-7.367456144216194,8.419847336012895,38.94185978316806,31.574461758213086,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,14.0
68,Bolivia (Plurinational State of),Latin America and the Caribbean (MDG=M49),-6.762216405865475,-3.5358985363943267,16.078396499958213,8.113178173571281,-10.516940939745863,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,76.0
70,Bosnia and Herzegovina,Northern America (M49) and Europe (M49),0.0503677292409996,-0.0503677292409855,0.4483728001446113,-0.1964685496951486,-3.252612626043928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
72,Botswana,Sub-Saharan Africa (M49),-11.32523081392172,-1.551137419014916,-5.552207338510308,82.84329305864401,93.77634249687824,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,98.0
76,Brazil,Latin America and the Caribbean (MDG=M49),-5.1398008507814605,3.0500981949975614,4.24518453645353,-3.9559223441940494,-1.6519006228956978,8.0,39.0,14.0,0.0,3.0,0.0,27.0,45.0,37.0,42.0,1109.0
84,Belize,Latin America and the Caribbean (MDG=M49),-99.99973450374236,1.534946034455798,7.356494518703433,9.266640689972206,18.2265442366253,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0
90,Solomon Islands,Oceania (M49) excluding Australia and New Zealand (M49),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
92,British Virgin Islands,Latin America and the Caribbean (MDG=M49),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
96,Brunei Darussalam,Eastern Asia (M49) and South-eastern Asia (MDG=M49),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
100,Bulgaria,Northern America (M49) and Europe (M49),-0.0360341124409581,0.2113791289241529,0.4999381009383482,-0.4223395224284982,-6.965333463914219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,21.0
104,Myanmar,Eastern Asia (M49) and South-eastern Asia (MDG=M49),-37.12168543604146,-4.976825892558553,13.833683545177616,29.195875131493803,11.853248209930982,0.0,7.0,0.0,0.0,1.0,0.0,5.0,1.0,4.0,3.0,97.0
108,Burundi,Sub-Saharan Africa (M49),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
112,Belarus,Northern America (M49) and Europe (M49),-0.3819336428366303,0.07599258041714,0.1213964054178887,-0.1003273966031964,-0.0251973770693834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0
116,Cambodia,Eastern Asia (M49) and South-eastern Asia (MDG=M49),-2.2180928987023862,-1.054649561818967,22.922188531044064,71.5640986393049,501.1203110613533,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,29.0
120,Cameroon,Sub-Saharan Africa (M49),0.6433074164903972,-0.1120995483704281,-0.4570809547102223,9.393108109563595,14.142091308899598,1.0,1.0,0.0,0.0,0.0,0.0,6.0,3.0,6.0,2.0,83.0
124,Canada,Northern America (M49) and Europe (M49),-1.0550926410236103,0.0083461262277384,-0.0083461262277384,0.7174547331591643,0.7174547331591643,2.0,8.0,0.0,0.0,0.0,0.0,13.0,3.0,18.0,6.0,1397.0
132,Cabo Verde,Sub-Saharan Africa (M49),0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
136,Cayman Islands,Latin America and the Caribbean (MDG=M49),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
140,Central African Republic,Sub-Saharan Africa (M49),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
144,Sri Lanka,Central Asia (M49) and Southern Asia (MDG=M49),3.1466227453770528,4.27724184928491,-4.543062290128154,-9.250850520526042,-9.250850520526042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
148,Chad,Sub-Saharan Africa (M49),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193.0
152,Chile,Latin America and the Caribbean (MDG=M49),-1.810810177531584,3.2302416811468704,-1.6222689708385287,11.415603174591055,11.415603174591055,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,132.0
156,China,Eastern Asia (M49) and South-eastern Asia (MDG=M49),-16.356110382710202,-5.339639148157821,4.1050643455943225,14.216525135370516,15.69166676581449,3.0,94.0,0.0,3.0,6.0,2.0,165.0,2.0,170.0,4.0,1240.0
162,Christmas Island,Australia and New Zealand (M49),0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
166,Cocos (Keeling) Islands,Australia and New Zealand (M49),0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
170,Colombia,Latin America and the Caribbean (MDG=M49),-2.9706925431335525,-1.4770426377347774,0.2725263663127267,20.362790540065667,26.91286865201612,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,119.0
174,Comoros,Sub-Saharan Africa (M49),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
175,Mayotte,Sub-Saharan Africa (M49),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
178,Congo,Sub-Saharan Africa (M49),-80.18000159509286,-71.18658262747178,279.6175694816318,284.8000980656888,284.8417153187796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0
180,Democratic Republic of the Congo,Sub-Saharan Africa (M49),11.414984783229723,0.8692595182994157,-0.8692595182994157,-10.722184077461105,-7.584678343369303,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236.0
184,Cook Islands,Oceania (M49) excluding Australia and New Zealand (M49),0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
