adm0_code,adm0_name,SDG_region,delta_2000_2004,delta_2005_2009,delta_2010_2014,delta_2015_2019,delta_2017_2021,count_basins_plus_2000_2004,count_basins_negative_2000_2004,count_basins_plus_2005_2009,count_basins_negative_2005_2009,count_basins_plus_2010_2014,count_basins_negative_2010_2014,count_basins_plus_2015_2019,count_basins_negative_2015_2019,count_basins_plus_2017_2021,count_basins_negative_2017_2021,total_basins
4,Afghanistan,Central Asia (M49) and Southern Asia (MDG=M49),-23.24084090469404,-0.8533311318637594,4.720275160086897,18.410375272995623,10.281090681890086,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,124.0
8,Albania,Northern America (M49) and Europe (M49),-8.82159218572935,0.0900633764379819,-4.222151410291697,46.572782972107376,35.940858286566986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0
12,Algeria,Western Asia (M49) and Northern Africa (M49),-17.328199666814754,-3.697761661527713,-1.559372303855927,7.25795584145337,7.25795584145337,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,321.0
16,American Samoa,Oceania (M49) excluding Australia and New Zealand (M49),0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
20,Andorra,Northern America (M49) and Europe (M49),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
24,Angola,Sub-Saharan Africa (M49),-28.725260687548555,0.0264952915980212,-13.704079107810117,112.36998439064864,112.36998439064864,0.0,2.0,0.0,0.0,0.0,1.0,8.0,0.0,7.0,0.0,152.0
28,Antigua and Barbuda,Latin America and the Caribbean (MDG=M49),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
31,Azerbaijan,Western Asia (M49) and Northern Africa (M49),-4.016328953896682,-1.2443179018920048,0.96922432812194,26.38829966312209,31.27939975866993,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,22.0
32,Argentina,Latin America and the Caribbean (MDG=M49),0.9572524119203902,9.89743202772566,-0.826340109322,-9.070657613117792,0.826340109322,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,388.0
36,Australia,Australia and New Zealand (M49),1.5744398981637344,7.583504511994535,-17.181352789277234,-1.5744398981637344,3.359158225460393,0.0,2.0,0.0,2.0,0.0,1.0,2.0,0.0,2.0,0.0,986.0
40,Austria,Northern America (M49) and Europe (M49),-3.431714154033256,-0.6832950700381416,0.2857673231929599,14.635081956769923,16.08554673670881,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,19.0
44,Bahamas,Latin America and the Caribbean (MDG=M49),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
48,Bahrain,Western Asia (M49) and Northern Africa (M49),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
