basin_level,start_year,p_u_thd,neg,stable,pos
0,2017,0.001,0,277,1
0,2017,0.002,0,277,1
0,2017,0.005,3,247,28
0,2017,0.01,6,221,51
0,2017,0.02,11,201,66
0,2017,0.05,23,160,95
3,2017,0.001,0,777,1
3,2017,0.002,0,775,3
3,2017,0.005,10,691,77
3,2017,0.01,24,616,138
3,2017,0.02,39,559,180
3,2017,0.05,70,460,248
4,2017,0.001,0,2209,3
4,2017,0.002,0,2204,8
4,2017,0.005,38,1992,182
4,2017,0.01,84,1790,338
4,2017,0.02,113,1667,432
4,2017,0.05,205,1401,606
5,2017,0.001,0,6222,16
5,2017,0.002,0,6208,30
5,2017,0.005,77,5712,449
5,2017,0.01,182,5231,825
5,2017,0.02,270,4924,1044
5,2017,0.05,510,4226,1502
6,2017,0.001,0,19116,47
6,2017,0.002,0,19075,88
6,2017,0.005,198,17683,1282
6,2017,0.01,465,16387,2311
6,2017,0.02,741,15423,2999
6,2017,0.05,1456,13373,4334
7,2017,0.001,0,62532,184
7,2017,0.002,0,62386,330
7,2017,0.005,459,58373,3884
7,2017,0.01,1228,54366,7122
7,2017,0.02,2091,51334,9291
7,2017,0.05,4196,45195,13325
8,2017,0.001,1,198489,654
8,2017,0.002,3,197863,1278
8,2017,0.005,1141,186750,11253
8,2017,0.01,3257,175987,19900
8,2017,0.02,5730,167329,26085
8,2017,0.05,11365,150334,37445
