id,t_score,u_score,p_t,p_u,p_u_thd_0.01
1110_232,5.714953986957036,88.5,1.0274032712194288e-05,0.00979219587072503,1.0
1110_729,6.223654435159018,95.5,1.760881824048291e-05,0.0022214145869887034,1.0
1110_818,6.498155186990781,93.5,1.941194118245852e-06,0.003467193190765815,1.0
1120_231,-0.6292095509153242,-37.5,0.5521990147984621,0.4146659024229229,0.0
1120_706,1.4374102588155793,81.0,0.22260374198564414,0.02506580050070714,0.0
1121_231,3.5441653368073247,92.5,0.016007952511670656,0.0005657392424534978,1.0
1121_232,1.5738816744724913,87.5,0.18971062362570917,0.011899644584157432,0.0
1121_262,2.4070974164576207,83.5,0.05918324047823896,0.02488372328270136,0.0
1121_706,5.057209981475671,92.5,0.0003774449212120945,0.004303876558312955,1.0
1122_706,1.3998683248802073,,0.22883569150642918,0.04699263513637775,0.0
1123_706,4.525532075583541,88.5,0.0003009778236613035,0.00979219587072503,1.0
1124_706,1.5356179424630652,67.5,0.18958637277519208,0.2401906043306089,0.0
1125_706,1.0194213530556977,67.5,0.34638446449218746,0.24784912392821346,0.0
1126_706,1.8781063261648845,78.0,0.11094646755323855,0.06142599885114648,0.0
1127_706,2.7574920831279734,75.5,0.013749879831038755,0.08924454710859073,0.0
1128_706,1.5550313230820636,,0.19486445460228316,0.312950675522914,0.0
1129_706,-6.478167459118334,-9.5,1.322478545146567e-06,0.006547287612860911,1.0
1130_887,-3.4933342301545167,-17.5,0.0039488840201156025,0.029613094352645416,0.0
1140_231,2.778937609283858,83.5,0.03338859255792741,0.024301552729281403,0.0
1140_404,1.560933164078084,74.5,0.19073169454164576,0.10140986253562935,0.0
1141_706,-2.523751113893718,-25.5,0.026692667777473204,0.10280164223951978,0.0
1142_231,-0.9138744298855002,-34.5,0.40086164477358666,0.307900293130149,0.0
1142_404,1.9181178881042054,80.5,0.11790227306427888,0.04142253879330133,0.0
1142_706,1.8160447588512365,70.5,0.13873474977798503,0.1736511335913007,0.0
1143_706,1.6588547265726663,73.5,0.16595903527440484,0.11794806736103866,0.0
1144_231,0.8697058623104692,-44.5,0.43315802545846316,0.7339474627492532,0.0
1144_404,1.1969113416011719,82.5,0.28866472659877807,0.029550379410739677,0.0
1144_706,0.32607848657182986,52.5,0.7584997561021528,0.8918594638362826,0.0
1145_706,-4.984184997865447,-20.5,8.235325596269634e-05,0.048689610702269216,0.0
1146_706,-0.34674427787984435,-41.5,0.7422365361245413,0.5865744278376042,0.0
1147_231,,,,1.0,0.0
1147_706,2.157774353745237,93.5,0.09637570682317878,0.0034609301161331366,1.0
1148_231,-1.9556742390532198,-24.5,0.09891047426980545,0.08924454710859073,0.0
1149_231,-4.068835538734676,-13.5,0.0005044240940357196,0.014399864726701132,0.0
1149_706,,,,1.0,0.0
1151_834,1.372792089847477,-57.5,0.24169685837630447,0.6341948173294822,0.0
1152_404,2.165305900669173,92.5,0.09424124024454555,0.004303876558312955,1.0
1152_834,1.7827399432091346,72.5,0.14691348290891282,0.13479216155813392,0.0
1153_404,4.6981262692856625,89.5,0.00044107609573888865,0.008024002332133759,1.0
1154_231,3.037896195348301,89.5,0.02613937707823833,0.008024002332133759,1.0
1154_404,2.211881086090749,82.5,0.08097297947636155,0.029613094352645416,0.0
1154_728,0.2544052328441998,58.0,0.8059225029007389,0.6042702577219443,0.0
1154_800,-0.5171378746625489,-43.5,0.6208028352372423,0.675298036840294,0.0
1155_231,,,,1.0,0.0
1155_404,1.198971877213279,66.5,0.295905715590296,0.2685004024767209,0.0
1155_728,-1.600210451172074,-33.0,0.12603894150428793,0.22654875513293082,0.0
1155_800,,,,1.0,0.0
1156_231,0.8627111792490156,-56.5,0.4319204632403854,0.6833800574551345,0.0
1156_404,,,,1.0,0.0
1157_231,0.05289178699260882,-40.5,0.9599628778947079,0.5406815690956761,0.0
1157_262,-1.9067582711331788,-25.5,0.11539027629597896,0.10280164223951978,0.0
1157_706,0.7276068751089988,,0.5028287114892882,0.3119010174389465,0.0
1158_231,5.848737951864686,93.5,0.0001561956471615808,0.003467193190765815,1.0
1158_232,1.8599645023555291,88.5,0.12043877992321399,0.00979219587072503,1.0
1159_231,1.7055603809891404,91.5,0.16038682310190927,0.005319686062957794,1.0
1159_262,-0.4614371088166186,-38.5,0.6628619403617844,0.4546204062737812,0.0
1160_834,-1.3521846119704795,-26.5,0.22190733612949703,0.11794806736103866,0.0
1160_894,1.6332989307964818,77.0,0.15601705050195358,0.07033584591572294,0.0
1170_454,-2.1094747980985087,-16.5,0.08232551973453484,0.02488372328270136,0.0
