id,t_score,u_score,p_t,p_u,p_u_thd_0.01
111_232,-3.264137553292609,11.5,0.00341207581276578,0.00979219587072503,1.0
111_729,-4.068430937735271,4.5,0.00047457221112560185,0.0022214145869887034,1.0
111_818,-3.287350417122247,6.5,0.003226952542454991,0.003467193190765815,1.0
112_231,-0.626878684622889,-45.5,0.5369122690581274,0.7856962962493347,0.0
112_232,-3.193336396803912,12.5,0.004042512368658746,0.011899644584157432,0.0
112_262,-2.8675059355436905,16.5,0.00870363403045382,0.02488372328270136,0.0
112_706,2.3442390566685836,-83.5,0.028070485434863082,0.02488372328270136,0.0
113_887,2.3806031837763513,-82.5,0.025953221937535124,0.029613094352645416,0.0
114_231,-0.45195170401775725,-61.5,0.6555372047996042,0.4546204062737812,0.0
114_404,-2.7695278426063563,18.5,0.010906176702836248,0.035095797419284286,0.0
114_706,-2.726102535622958,33.5,0.012042823261089197,0.27676572286017653,0.0
115_231,-2.300887030817508,28.5,0.03080137273596965,0.1534378834105726,0.0
115_232,-2.2495310794289054,11.5,0.03434983850559621,0.00979219587072503,1.0
115_262,2.4120010293104417,-74.5,0.024244522570719223,0.10280164223951978,0.0
115_404,-3.998170360363491,7.5,0.000565103587379943,0.004303876558312955,1.0
115_706,-1.0875923606099587,,0.2880414568769789,0.3119010174389465,0.0
115_728,0.7865312377800591,-62.5,0.4395856479704682,0.41286091143583725,0.0
115_800,0.4667589636452787,-56.5,0.6450635397520037,0.675298036840294,0.0
115_834,-3.3754028536886054,26.5,0.002609398031338657,0.11794806736103866,0.0
116_834,1.307108624581229,-73.5,0.2040935978795829,0.11794806736103866,0.0
116_894,-1.751624266868838,23.0,0.0931642396502656,0.07033584591572294,0.0
117_404,-2.6580217875577508,20.5,0.014052403358449336,0.048689610702269216,0.0
117_454,2.4217557642209857,-83.5,0.023735193609527118,0.02488372328270136,0.0
117_508,2.092498117424808,-78.5,0.04762397460277464,0.05699830641051993,0.0
117_706,-2.7524668039217266,13.5,0.011340079203954872,0.014399864726701132,0.0
117_834,-2.8617760742067553,35.5,0.008819836790507586,0.3412684763150512,0.0
121_508,-2.766668587917949,11.5,0.010977781185385263,0.00979219587072503,1.0
122_180,,,,1.0,0.0
122_24,-2.057685805786508,26.5,0.05112866207991578,0.11794806736103866,0.0
122_454,3.192317362659004,-87.5,0.004052361687880365,0.011899644584157432,0.0
122_508,-0.6428751580542057,38.5,0.526662763362715,0.4546204062737812,0.0
