id_bgl,basin_level,start_year,t_score,p_t,u_score,p_u,baseline_median,delta,u_sign
1110_232,4,2017,5.714953986957036,1.0274032712194288e-05,88.5,0.00979219587072503,36.199958709014396,24.779149583900644,1
1110_729,4,2017,6.223654435159018,1.760881824048291e-05,95.5,0.0022214145869887034,25.778302135729398,31.294721464202425,1
1110_818,4,2017,6.498155186990781,1.941194118245852e-06,93.5,0.003467193190765815,38.873560070572296,37.49427916593852,1
1120_231,4,2017,-0.6292095509153242,0.5521990147984621,37.5,0.4146659024229229,0.033109122450696304,-30.5077607326156,-1
1120_706,4,2017,1.4374102588155793,0.22260374198564414,81.0,0.02506580050070714,0.0,35298.259463161,-99
1121_231,4,2017,3.5441653368073247,0.016007952511670656,92.5,0.0005657392424534978,0.0,122978.91022171798,-99
1121_232,4,2017,1.5738816744724913,0.18971062362570917,87.5,0.011899644584157432,5.254751002073155,69.69566851099424,1
1121_262,4,2017,2.407097416457621,0.05918324047823893,83.5,0.02488372328270136,4.853357041723265,23.568520925306892,1
1121_706,4,2017,5.057209981475669,0.00037744492121209543,92.5,0.004303876558312955,6.8537132450122655,33.77077074087579,1
1122_706,4,2017,1.3998683248802073,0.22883569150642918,67.0,0.04699263513637775,0.0,0.0,-99
1123_706,4,2017,4.525532075583541,0.0003009778236613035,88.5,0.00979219587072503,4.831219340701175,4.43723957008782,1
1124_706,4,2017,1.5356179424630652,0.18958637277519208,67.5,0.2401906043306089,0.00540530056665265,97.06670128784582,-99
1125_706,4,2017,1.0194213530556964,0.34638446449218824,67.5,0.24784912392821346,0.0849337297661787,15.515279818837632,1
1126_706,4,2017,1.8781063261648845,0.11094646755323855,78.0,0.06142599885114648,0.026504942507017397,23.3245329346742,1
1127_706,4,2017,2.7574920831279734,0.013749879831038755,75.5,0.08924454710859073,0.24550722802980052,19.07146471143935,1
1128_706,4,2017,1.5550313230820636,0.19486445460228316,64.5,0.312950675522914,0.0007084699347615,0.0,-99
1129_706,4,2017,-6.478167459118333,1.3224785451465698e-06,9.5,0.006547287612860911,25.35886616552905,-27.16111225218153,-1
1130_887,4,2017,-3.4933342301545216,0.003948884020115558,17.5,0.029613094352645416,2.564778928132385,-16.396329336427137,-1
1140_231,4,2017,2.778937609283858,0.03338859255792741,83.5,0.024301552729281403,0.0053463591611944,99.80425270771681,-99
1140_404,4,2017,1.560933164078084,0.19073169454164582,74.5,0.10140986253562935,0.002232519473182,258.7820789331453,-99
1141_706,4,2017,-2.5237511138937188,0.02669266777747314,25.5,0.10280164223951978,0.2206889365419665,-70.83101452278589,-1
1142_231,4,2017,-0.9138744298854995,0.4008616447735868,34.5,0.307900293130149,0.0512979027989786,-54.7795200278161,-1
1142_404,4,2017,1.9181178881042054,0.11790227306427888,80.5,0.04142253879330133,2.1925489819317603,41.4572371717036,1
1142_706,4,2017,1.8160447588512365,0.13873474977798503,70.5,0.1736511335913007,0.0044698730926029,1182834.4399575994,-99
1143_706,4,2017,1.6588547265726663,0.16595903527440484,73.5,0.11794806736103866,0.07419987523462626,664.9703530416158,1
1144_231,4,2017,0.8697058623104692,0.43315802545846316,44.5,0.7339474627492532,3.14350316966895,-51.76099581065108,-1
1144_404,4,2017,1.196911341601172,0.288664726598778,82.5,0.029550379410739677,0.043699762230971856,55.09285684474341,1
1144_706,4,2017,0.3260784865718302,0.7584997561021526,52.5,0.8918594638362826,7.5041681433813245,13.4869264479449,1
1145_706,4,2017,-4.984184997865446,8.235325596269662e-05,20.5,0.048689610702269216,5.27197955478914,-99.89813345503619,-1
1146_706,4,2017,-0.34674427787984496,0.7422365361245409,41.5,0.5865744278376042,0.0424326715292409,-15.819501759213573,-1
1147_231,4,2017,,,50.0,1.0,0.0,0.0,-99
1147_706,4,2017,2.157774353745237,0.09637570682317878,93.5,0.0034609301161331366,0.1272460785209356,1728.8807395197334,1
1148_231,4,2017,-1.9556742390532196,0.09891047426980543,24.5,0.08924454710859073,0.393947450473206,-33.48662571979088,-1
1149_231,4,2017,-4.068835538734676,0.0005044240940357196,13.5,0.014399864726701132,2.08647503527486,-79.04275473324769,-1
1149_706,4,2017,,,50.0,1.0,0.0,0.0,-99
1151_834,4,2017,1.372792089847477,0.24169685837630447,57.5,0.6341948173294822,55.8851597266912,-1.0622678073334475,-1
1152_404,4,2017,2.165305900669172,0.09424124024454562,92.5,0.004303876558312955,5.2475233168806845,543.7109267940004,1
1152_834,4,2017,1.7827399432091346,0.14691348290891282,72.5,0.13479216155813392,263.590437420076,144.91842895506852,1
1153_404,4,2017,4.6981262692856625,0.00044107609573888865,89.5,0.008024002332133759,325.32187419085153,36.998137878215395,1
1154_231,4,2017,3.0378961953483,0.026139377078238362,89.5,0.008024002332133759,106.932953625468,35.51582557345846,1
1154_404,4,2017,2.2118810860907896,0.08097297947635755,82.5,0.029613094352645416,7147.04367133492,0.7254231773422699,1
1154_728,4,2017,0.2544052328441995,0.8059225029007391,58.0,0.6042702577219443,0.0022271534253377,59.7144496904071,-99
1154_800,4,2017,-0.5171378746625489,0.6208028352372423,43.5,0.675298036840294,0.0008935445512179,-0.008796750629823834,-99
1155_231,4,2017,,,50.0,1.0,0.0,0.0,-99
1155_404,4,2017,1.198971877213279,0.295905715590296,66.5,0.2685004024767209,0.000891912553925,197.85517285035942,-99
1155_728,4,2017,-1.6002104511720736,0.12603894150428807,33.0,0.22654875513293082,0.0008911102777346,-98.89025791325562,-99
1155_800,4,2017,,,50.0,1.0,0.0,0.0,-99
1156_231,4,2017,0.8627111792490346,0.4319204632403762,56.5,0.6833800574551345,2560.63941860674,-0.02966558382932198,-1
1156_404,4,2017,,,50.0,1.0,0.0,0.0,-99
1157_231,4,2017,0.05289178699260882,0.9599628778947079,40.5,0.5406815690956761,402.9928226904275,-6.837902855025151,-1
1157_262,4,2017,-1.906758271133177,0.11539027629597923,25.5,0.10280164223951978,77.3827893580533,-29.734353063609483,-1
1157_706,4,2017,0.7276068751089988,0.5028287114892882,57.5,0.3119010174389465,0.0,0.0,-99
1158_231,4,2017,5.848737951864674,0.00015619564716158298,93.5,0.003467193190765815,213.0821889731085,7.614096562379699,1
1158_232,4,2017,1.8599645023555291,0.12043877992321399,88.5,0.00979219587072503,0.33930130035150796,34.44703863072876,1
1159_231,4,2017,1.7055603809891404,0.16038682310190927,91.5,0.005319686062957794,0.045080915879225344,121.2722422093607,1
1159_262,4,2017,-0.4614371088166186,0.6628619403617844,38.5,0.4546204062737812,64.84944256430896,-0.6059029352761517,-1
1160_834,4,2017,-1.3521846119704795,0.22190733612949703,26.5,0.11794806736103866,5527.90169834086,-3.4920490015267958,-1
1160_894,4,2017,1.633298930796483,0.15601705050195333,77.0,0.07033584591572294,0.0017669939552433,49.69705758832967,-99
1170_454,4,2017,-2.109474798098508,0.0823255197345349,16.5,0.02488372328270136,984.17859980476,-63.909646068431236,-1
1170_508,4,2017,-2.4041544504599983,0.04475123598234456,20.5,0.048689610702269216,32.80576640307635,-78.14927055218651,-1
1171_404,4,2017,1.962817885263221,0.07397755800441835,66.5,0.27676572286017653,17.767211818144702,5.071488683205903,1
1171_706,4,2017,4.622912278593717,0.00017460451256482505,86.5,0.014399864726701132,2.596419428134855,34.91008118499522,1
1172_404,4,2017,-1.1798959567244882,0.2682097443859893,32.5,0.24784912392821346,34.73379307907615,-7.795439116102888,-1
1173_404,4,2017,4.698587711997864,0.00022171843379541835,90.5,0.006547287612860911,77.80130852596466,12.557343052851952,1
1173_834,4,2017,2.4131479817569925,0.06808887758854318,86.5,0.014399864726701132,52.99500380136285,25.460235755947803,1
1174_834,4,2017,1.3071312412815062,0.260306961691559,60.5,0.49665738654204294,177.617061995062,6.8450351971521215,1
1175_834,4,2017,2.2301932718661392,0.045674346848006246,72.5,0.13479216155813392,24.94478672307975,4.21529615695993,1
1176_454,4,2017,-8.08688830937205,1.192587392985592e-07,15.5,0.020822974945909827,63.2055770646502,-75.47587350057788,-1
1176_508,4,2017,-5.2783075197614115,2.7294286807044155e-05,13.5,0.014399864726701132,145.85732825291052,-24.128863093814374,-1
1176_834,4,2017,-1.3209967392736333,0.2045259225337533,32.5,0.24784912392821346,37.8273199999164,-5.652065228803938,-1
1177_508,4,2017,2.4795680052753757,0.02876804226816858,79.5,0.048689610702269216,23.138623853767747,10.881651813542394,1
1178_508,4,2017,-1.3055694308225145,0.24440197640150596,31.5,0.2211162550702167,4.615098944911615,-22.04314989951355,-1
1179_508,4,2017,3.5344904276975218,0.0034072559384193068,83.5,0.02488372328270136,106.233858067764,13.188645141691383,1
1210_508,4,2017,5.232878485509049,2.6819564971450786e-05,88.5,0.00979219587072503,6.492337854193555,54.92103516131072,1
1221_508,4,2017,1.9021325740819297,0.0703970890912513,63.5,0.37686571143689396,64.80019977279636,1.3023759463884308,1
1222_454,4,2017,-5.268415381107073,4.724384746458326e-05,12.5,0.011899644584157432,23053.0581334535,-0.2291686760530968,-1
1222_508,4,2017,-3.1391899887172445,0.011388098333093316,13.5,0.014399864726701132,6755.851250871965,-0.03651932640944934,-1
1222_834,4,2017,-4.6405248961835,0.000221086183963724,11.5,0.00979219587072503,8.234085648930655,-8.215221604543357,-1
1222_894,4,2017,,,50.0,1.0,0.0,0.0,-99
1223_454,4,2017,-1.327216482367242,0.22549529641545513,32.5,0.24775806224304098,0.05295795196434485,-4.917117714192267,-1
1223_508,4,2017,0.8801742481204148,0.4058518150271406,61.5,0.4546204062737812,324.305482871088,2.337610211081587,1
1223_716,4,2017,-1.1236326164536619,0.31671026421183995,36.5,0.37686571143689396,105.27393847882149,-14.62463245475861,-1
1223_894,4,2017,4.158866027379339,0.008142005465516182,95.5,0.0022214145869887034,0.5007952835294415,57.66095797565488,1
1224_180,4,2017,,,50.0,1.0,0.0,0.0,-99
1224_454,4,2017,,,50.0,1.0,0.0,0.0,-99
1224_508,4,2017,-1.5708975880917397,0.1659089125225662,27.5,0.13479216155813392,0.6224793418896085,-46.057625031391815,-1
1224_894,4,2017,-2.3406730826603828,0.04966550299752323,22.5,0.06645414979996266,68.01595674149306,-19.917516185832984,-1
1225_508,4,2017,2.5242057729931067,0.024234617917196485,74.0,0.10190883410995466,0.0654278449015692,1.3066321705758015,1
1225_716,4,2017,1.9284260772509219,0.09564385163065618,70.5,0.17398281795260206,87.4898980067617,2.4079638449922407,1
1225_894,4,2017,2.387660077085488,0.04186688726628695,75.5,0.08924454710859073,38.46224399143465,2.3187034399829014,1
1226_180,4,2017,,,50.0,1.0,0.0,0.0,-99
1226_894,4,2017,2.133703531099871,0.050482367156490064,71.5,0.1534378834105726,319.6091745877315,8.361031438349748,1
1227_716,4,2017,0.12944249200431954,0.9024032070687233,60.5,0.49665738654204294,101.26649774779085,9.100862879012627,1
1227_72,4,2017,3.73532976415682,0.005433218924708301,88.5,0.00888247512096326,0.009337758354377,136.23161161677274,-99
1227_894,4,2017,-1.715416065280497,0.1316116437450242,26.5,0.11794806736103866,55.874150472324246,-5.344154278595161,-1
1228_24,4,2017,0.9999839713778572,0.34699003382828486,65.5,0.307900293130149,1.5017137100021851,5.28650982789899,1
1228_516,4,2017,-2.3959115591207962,0.025978447719896974,45.5,0.7856962962493347,12.4011302386341,-1.309578590702133,-1
1228_72,4,2017,-0.7860227075723788,0.44104116335239074,47.5,0.8918594638362826,11.09471588968845,-1.011154593270451,-1
1228_894,4,2017,-0.4050506807417252,0.6943744979523603,49.5,1.0,0.149570468056481,-30.652225574642756,-1
1229_180,4,2017,,,50.0,1.0,0.0,0.0,-99
1229_24,4,2017,1.511438379744376,0.19492366047597234,70.5,0.17398281795260206,68.9774965999656,4.271069397466544,1
1229_516,4,2017,7.247521020865151,3.172880340119043e-07,95.5,0.0022214145869887034,25.5984739480005,9.41950661739342,1
1229_894,4,2017,3.7715674592595843,0.004956456312244284,86.5,0.014399864726701132,311.468346035812,6.784942173230343,1
1230_508,4,2017,-2.730598524564366,0.029447759579056463,16.5,0.02488372328270136,596.50292089546,-6.2443933119842265,-1
1230_716,4,2017,0.9361712549011872,0.3880332114796126,65.5,0.307900293130149,70.63301064458824,10.992714456417294,1
1241_508,4,2017,-2.917682557306173,0.02305480529172081,17.5,0.029613094352645416,17.1796502776718,-8.387320141122572,-1
1242_508,4,2017,-0.5599189940173099,0.5966511388100867,37.5,0.4146659024229229,82.3551938401073,-16.42292609505122,-1
1242_716,4,2017,,,50.0,1.0,0.0,0.0,-99
1243_508,4,2017,-2.0773356504227714,0.050071752816164876,30.5,0.1965160943128864,10.0579945877901,-14.623365404388345,-1
1244_508,4,2017,-3.1330956420642666,0.006718463911570309,18.5,0.035095797419284286,1.72881053371946,-40.78186395245288,-1
1244_710,4,2017,-0.3176243735774089,0.7561424285204825,45.5,0.7856962962493347,72.24451427806414,-1.0148194644201638,-1
1245_508,4,2017,-0.37149579206172273,0.7227365705704905,47.5,0.8918594638362826,0.673136539349798,-19.99036484203272,-1
1245_710,4,2017,0.18925497848141296,0.8567380113385608,50.5,1.0,7.57646306875235,-3.871320418100694,-1
1245_716,4,2017,-0.24657543360823708,0.8159071605990771,51.5,0.9458048585528951,34.381948062222946,6.434738469039101,1
