id_bgl,Unnamed: 0,basin_level,start_year,t_score,p_t,u_score,p_u,baseline_median,delta,u_sign
111_232,0,3,2017,5.714953986957036,1.0274032712194288e-05,88.5,0.009792195870725,36.1999587090144,24.779149583900644,1
111_729,1,3,2017,6.223654435159024,1.760881824048272e-05,95.5,0.0022214145869887,25.7783021357294,31.294721464202425,1
111_818,2,3,2017,6.49815518699078,1.941194118245856e-06,93.5,0.0034671931907658,38.873560070572296,37.49427916593852,1
112_231,3,3,2017,0.5541834375864244,0.6015126378109847,54.5,0.7856962962493347,0.0331091224506963,-12.205091226938954,-1
112_232,4,3,2017,1.5738816744724913,0.1897106236257091,87.5,0.0118996445841574,5.254751002073155,69.69566851099424,1
112_262,5,3,2017,2.4070974164576207,0.0591832404782389,83.5,0.0248837232827013,4.853357041723265,23.56852092530689,1
112_706,6,3,2017,-4.147737788731334,0.0004212403343054,16.5,0.0248837232827013,36.694655465489845,-8.530716512468297,-1
113_887,7,3,2017,-3.4933342301545074,0.0039488840201156,17.5,0.0296130943526454,2.564778928132385,-16.396329336427137,-1
114_231,8,3,2017,0.2462795363811784,0.8171239223467899,38.5,0.4546204062737812,6.71034814001417,-64.09649777763424,-1
114_404,9,3,2017,1.9749889132583327,0.1093872907785647,81.5,0.0350957974192842,2.25676620466984,41.22694806570706,1
114_706,10,3,2017,1.6027410562268165,0.179681830868641,66.5,0.2767657228601765,13.55214862874535,357.65247653556384,1
115_231,11,3,2017,1.424350545669446,0.2218064001889597,71.5,0.1534378834105726,3287.841608396335,0.341851634733166,1
115_232,12,3,2017,1.859964502355529,0.1204387799232139,88.5,0.009792195870725,0.3393013003515079,34.44703863072876,1
115_262,13,3,2017,-1.9512490345965776,0.107901464916458,25.5,0.1028016422395197,143.148871686667,-16.98849406714931,-1
115_404,14,3,2017,3.4094879530097675,0.0175801981421517,92.5,0.0043038765583129,7476.9742618959,2.586187651327285,1
115_706,15,3,2017,0.7276068751089988,0.5028287114892882,57.5,0.3119010174389465,0.0,0.0,-99
115_728,16,3,2017,-1.597085709825224,0.1266839307128584,37.5,0.4128609114358372,0.004454090638319,-19.96001937465876,-99
115_800,17,3,2017,-0.5171378746625489,0.6208028352372423,43.5,0.675298036840294,0.0008935445512179,-0.0087967506298238,-99
115_834,18,3,2017,1.6347287273378357,0.1768226716967173,73.5,0.1179480673610386,324.223075802482,114.00121887520064,1
