id,t_score,u_score,p_t,p_u,p_u_thd_0.01
111_232,4.36964813168555,89.5,0.00022406939235225138,0.007903211515051732,1.0
111_729,,,,1.0,0.0
111_818,,,,1.0,0.0
112_231,,,,1.0,0.0
112_232,,,,1.0,0.0
112_262,,,,1.0,0.0
112_706,,,,1.0,0.0
113_887,,,,1.0,0.0
114_231,2.2795088078141195,82.5,0.03223571679464738,0.029613094352645416,0.0
114_404,,,,1.0,0.0
114_706,,,,1.0,0.0
115_231,5.257151543200121,95.5,2.470465430463156e-05,0.0022214145869887034,1.0
115_232,,,,1.0,0.0
115_262,,,,1.0,0.0
115_404,0.8291710207709964,-53.5,0.4155304618265697,0.838410115171209,0.0
115_706,,,,1.0,0.0
115_728,,,,1.0,0.0
115_800,,,,1.0,0.0
115_834,,,,1.0,0.0
116_834,,,,1.0,0.0
116_894,,,,1.0,0.0
117_404,-0.8102622822899253,-41.5,0.4260940295506691,0.5865744278376042,0.0
117_454,,,,1.0,0.0
117_508,-1.780946237549944,-28.5,0.08813447881126493,0.1534378834105726,0.0
117_706,,,,1.0,0.0
117_834,1.0920249295611772,66.5,0.286129494288384,0.27676572286017653,0.0
121_508,,,,1.0,0.0
122_180,,,,1.0,0.0
122_24,,,,1.0,0.0
122_454,,,,1.0,0.0
122_508,-0.40679627160124154,-33.5,0.6879184017202857,0.27676572286017653,0.0
122_516,,,,1.0,0.0
122_716,-2.2350876915782423,-20.5,0.0354128541045787,0.048689610702269216,0.0
122_72,,,,1.0,0.0
122_834,,,,1.0,0.0
122_894,-2.0051953635102446,-21.5,0.05684861183508925,0.05699830641051993,0.0
123_508,1.6266227638902138,74.5,0.11744158065924384,0.10280164223951978,0.0
123_716,1.5286567841748782,67.5,0.13998703267860055,0.24784912392821346,0.0
124_508,0.565024357402436,-45.5,0.5775274407468454,0.7856962962493347,0.0
124_710,-1.2317107019355147,-32.5,0.2305024037530064,0.24784912392821346,0.0
124_716,-0.07014812752452614,55.5,0.9446821204094576,0.7339474627492532,0.0
124_72,3.899121575361166,91.5,0.0007224699011181808,0.005319686062957794,1.0
125_426,,,,1.0,0.0
125_508,-2.2797553591142656,-22.5,0.03221883266277902,0.06645414979996266,0.0
125_710,-2.9620994497851085,-16.5,0.006983823138891891,0.02488372328270136,0.0
125_748,0.8486354715606792,63.5,0.40483033423150616,0.37686571143689396,0.0
126_710,-0.7119084075620055,40.5,0.48368070746456526,0.5406815690956761,0.0
127_426,-2.1002084572186157,-21.5,0.046877468338468446,0.05699830641051993,0.0
127_516,-1.307274033579328,-32.5,0.20403835135174284,0.24784912392821346,0.0
127_710,-0.10333146807019747,-47.5,0.9185956138297877,0.8918594638362826,0.0
127_72,,,,1.0,0.0
128_516,-2.0108652141037093,-23.5,0.056204510570447126,0.0771659313616824,0.0
129_24,,,,1.0,0.0
129_516,-2.0339283435251168,-20.5,0.053650791986635804,0.048689610702269216,0.0
129_716,-0.35858579425822323,-46.5,0.7231755133132398,0.838410115171209,0.0
129_72,,,,1.0,0.0
131_24,2.5782755397112074,72.5,0.016806453491670963,0.13479216155813392,0.0
131_516,,,,1.0,0.0
132_108,,,,1.0,0.0
132_120,,,,1.0,0.0
132_140,,,,1.0,0.0
132_178,2.452754009719045,79.5,0.02218161139179138,0.048689610702269216,0.0
132_180,-2.5703672055972056,-13.5,0.017105521059663724,0.014399864726701132,0.0
132_24,1.7530151203126842,75.5,0.09292022312033463,0.08899811266733593,0.0
132_266,,,,1.0,0.0
132_454,,,,1.0,0.0
132_646,-1.1434015397770094,-38.5,0.264633889065663,0.4546204062737812,0.0
132_728,,,,1.0,0.0
132_729,,,,1.0,0.0
132_800,,,,1.0,0.0
132_834,,,,1.0,0.0
132_894,2.4849062981393413,81.5,0.020670163301232697,0.035095797419284286,0.0
133_120,5.036441292757016,95.5,4.261594500298141e-05,0.0022214145869887034,1.0
133_140,,,,1.0,0.0
133_178,,,,1.0,0.0
133_180,,,,1.0,0.0
133_226,,,,1.0,0.0
133_24,,,,1.0,0.0
133_266,3.2652055558690614,91.5,0.0034033369428117834,0.005319686062957794,1.0
133_566,-2.742308149515507,-17.5,0.011606140812597435,0.019930297799056414,0.0
134_226,,,,1.0,0.0
134_678,,,,1.0,0.0
141_566,,,,1.0,0.0
142_12,,,,1.0,0.0
142_120,-3.7521469442406112,-11.5,0.0010389135020564303,0.00979219587072503,1.0
142_148,,,,1.0,0.0
142_204,,,,1.0,0.0
142_324,2.3737299394926032,78.5,0.026341780693647954,0.05699830641051993,0.0
142_384,-1.5381430573909944,-27.5,0.13765869039079862,0.13479216155813392,0.0
142_466,3.890151416461118,86.5,0.0007387008687444945,0.014399864726701132,0.0
142_478,,,,1.0,0.0
142_562,,,,1.0,0.0
142_566,3.9935108340338883,92.5,0.0005716797103912043,0.004303876558312955,1.0
142_694,,,,1.0,0.0
142_854,-3.0353589075823084,-18.5,0.005880455979713923,0.035095797419284286,0.0
143_204,0.44283995578190233,58.5,0.6620185186284429,0.5865744278376042,0.0
143_288,1.2913525210249037,73.5,0.20940949156107325,0.11794806736103866,0.0
143_566,-2.2297715379724097,-19.5,0.03581158936674369,0.04142253879330133,0.0
143_768,2.632162463264399,86.5,0.01489529555280632,0.013747690848185086,0.0
144_204,,,,1.0,0.0
144_288,0.45501909832151083,56.5,0.6533615007162147,0.6833800574551345,0.0
144_384,,,,1.0,0.0
144_466,-1.3907553960274914,-32.5,0.17761018105481588,0.24784912392821346,0.0
144_768,-1.368342960272825,,0.18442414816295655,0.14478961507270446,0.0
144_854,4.063247411611699,86.5,0.00048072856009706517,0.014399864726701132,0.0
145_270,,,,1.0,0.0
145_288,0.28392253658962124,-51.5,0.7790100220856773,0.9458048585528951,0.0
