id_bgl,basin_level,start_year,t_score,p_t,u_score,p_u,baseline_median,delta,u_sign
4,0,2017,0.2387494798192228,0.8208993766185331,57.5,0.6341948173294822,52.6264082018666,4.3610569084990285,1
8,0,2017,2.0015675031863966,0.0954021075876798,80.5,0.04142253879330133,75.25557395349381,9.631404227342497,1
12,0,2017,0.6946908482634858,0.5019793121095808,49.5,1.0,235.0181588518465,-0.1537573607006123,-1
16,0,2017,,,50.0,1.0,0.0,0.0,-99
20,0,2017,,,50.0,1.0,0.0,0.0,-99
24,0,2017,1.5123220841576221,0.20147812377782168,73.5,0.11794806736103866,291.7615474809995,11.81466539180142,1
28,0,2017,,,50.0,1.0,0.0,0.0,-99
31,0,2017,-3.3813405957457054,0.013243422964923483,13.5,0.014399864726701132,590.1016544126401,-7.681550657486009,-1
32,0,2017,-0.9732333093462026,0.37917691187318553,39.5,0.49665738654204294,3263.5614401030098,0.12007117546435138,1
36,0,2017,-0.7126947091164368,0.5042019501661255,41.5,0.5865744278376042,3232.4311662662403,-0.6902116471070947,-1
40,0,2017,0.37234488454928955,0.7134024273355564,36.5,0.37686571143689396,56.3947511126171,-0.11592672183529734,-1
44,0,2017,,,50.0,1.0,0.0,0.0,-99
48,0,2017,,,50.0,1.0,0.0,0.0,-99
50,0,2017,0.6124703817692916,0.5657452673471277,61.5,0.4546204062737812,214.7141111810895,0.9709428906449192,1
51,0,2017,-4.053323810765393,0.0017650296721633024,13.5,0.014399864726701132,17.9042512830019,-17.037538455011596,-1
52,0,2017,,,50.0,1.0,0.0,0.0,-99
56,0,2017,0.570493608431155,0.5892988473424934,62.5,0.4146659024229229,7.6401764315448,2.2169775406191436,1
60,0,2017,,,50.0,1.0,0.0,0.0,-99
64,0,2017,4.451603401263054,0.00020421703988234295,86.5,0.014399864726701132,0.07585521703003906,31.574461758213086,1
68,0,2017,-0.7929520577497875,0.45551367711135227,35.5,0.3412684763150512,16.86781959538345,-10.516940939745863,-1
70,0,2017,-1.5942979399415187,0.17172624833319095,24.5,0.08924454710859073,100.86924853043399,-3.252612626043928,-1
72,0,2017,6.992170804477372,4.575205745555598e-07,91.5,0.005319686062957794,46.209516997495655,93.77634249687823,1
76,0,2017,-0.7044879749417101,0.48864677298025017,40.5,0.5406815690956761,24490.2335416972,-1.6519006228956978,-1
84,0,2017,3.093077486478816,0.005531209458264177,84.5,0.020577850524562184,3.76652143415413,18.2265442366253,1
90,0,2017,,,50.0,1.0,0.0,0.0,-99
92,0,2017,,,50.0,1.0,0.0,0.0,-99
96,0,2017,,,50.0,1.0,0.0,0.0,-99
100,0,2017,-2.266390046863218,0.06759488563192381,20.5,0.048689610702269216,258.399509295946,-6.965333463914219,-1
104,0,2017,2.170599925851218,0.05096116571270524,69.5,0.1965160943128864,534.423418021641,11.853248209930982,1
108,0,2017,,,50.0,1.0,0.0,0.0,-99
112,0,2017,0.1322826482568034,0.8969176721079564,47.5,0.8918594638362826,49.610515920504696,-0.025197377069383423,-1
116,0,2017,2.598565517930515,0.05634852658731428,95.5,0.0022214145869887034,28.94538320222555,501.1203110613533,1
120,0,2017,5.691955443927716,0.0003699566958557497,94.5,0.002781224934389138,817.785352907687,14.142091308899598,1
124,0,2017,5.155897849726385,3.660588829556527e-05,88.5,0.00979219587072503,89471.0249006809,0.7174547331591643,1
132,0,2017,,,50.0,1.0,0.0,0.0,-99
136,0,2017,,,50.0,1.0,0.0,0.0,-99
140,0,2017,,,50.0,1.0,0.0,0.0,-99
144,0,2017,-0.3894252520767815,0.7098975451833188,43.5,0.6833800574551345,145.541548605407,-9.250850520526042,-1
148,0,2017,,,50.0,1.0,0.0,0.0,-99
152,0,2017,2.2005556805978337,0.06574352295367837,78.5,0.05699830641051993,198.54414777472,11.415603174591057,1
156,0,2017,6.143030123321246,3.232689425042148e-06,95.5,0.0022214145869887034,11224.066123803601,15.69166676581449,1
162,0,2017,,,50.0,1.0,0.0,0.0,-99
166,0,2017,,,50.0,1.0,0.0,0.0,-99
170,0,2017,7.734458577650945,6.769197960290903e-07,93.5,0.003467193190765815,297.60095017896845,26.91286865201612,1
174,0,2017,,,50.0,1.0,0.0,0.0,-99
175,0,2017,,,50.0,1.0,0.0,0.0,-99
178,0,2017,4.778452086597282,9.211016987784256e-05,79.5,0.048689610702269216,8.46930386896287,284.8417153187796,1
180,0,2017,-4.033683269493004,0.0009682250156201852,13.5,0.014399864726701132,351.5936303580205,-7.584678343369303,-1
184,0,2017,,,50.0,1.0,0.0,0.0,-99
188,0,2017,3.5323860249161827,0.004172717713996967,84.5,0.020822974945909827,81.17954634725865,3.472263258402545,1
191,0,2017,0.5476706433363503,0.5897422139683444,43.5,0.6833800574551345,47.211927353119805,-0.26207061619306765,-1
192,0,2017,0.3875419287389826,0.7131035286237682,53.5,0.838410115171209,45.10999386678365,1.524995955784434,1
196,0,2017,1.5152244189978332,0.17766967388770158,71.5,0.1534378834105726,3.543213985045445,40.06131793854317,1
203,0,2017,2.3558946004507844,0.039214563562872534,76.5,0.0771659313616824,166.2381887737495,0.31771817348810955,1
204,0,2017,0.4825425882832082,0.6443248303110671,58.5,0.5865744278376042,1.159323537780435,0.41998661065364457,1
208,0,2017,,,50.0,1.0,0.0,0.0,-99
212,0,2017,,,50.0,1.0,0.0,0.0,-99
214,0,2017,0.2735678428806776,0.7944511440103791,55.5,0.7339474627492532,54.77464307413905,3.2826161026658625,1
218,0,2017,0.9852584008023513,0.3389587182224373,54.5,0.7856962962493347,67.96589076197111,3.979608816913959,1
222,0,2017,-0.5807019993552195,0.5846593749262058,44.5,0.7339474627492532,69.4764849784521,-0.30505940689457534,-1
226,0,2017,,,50.0,1.0,0.0,0.0,-99
231,0,2017,7.671351160147523,3.03913545044682e-07,95.5,0.0022214145869887034,439.451242953794,60.59146352730046,1
232,0,2017,8.12890940621081,5.5022532706004184e-08,89.5,0.008011880888046946,4.044197700946825,799.4086339153051,1
233,0,2017,,,50.0,1.0,0.0,0.0,-99
234,0,2017,,,50.0,1.0,0.0,0.0,-99
238,0,2017,,,50.0,1.0,0.0,0.0,-99
239,0,2017,,,50.0,1.0,0.0,0.0,-99
242,0,2017,6.104533301373093,1.258395959535396e-05,91.5,0.005319686062957794,2.686325358314205,28.91242240806111,1
246,0,2017,2.215775155116285,0.038502103888912384,85.5,0.017352389190761427,7235.69409397368,0.6835720401730059,1
248,0,2017,,,50.0,1.0,0.0,0.0,-99
250,0,2017,2.022992239948418,0.08803191090538574,78.5,0.05699830641051993,301.2025887243275,1.5007712333507304,1
254,0,2017,-1.8934136994432247,0.10976565885048581,20.5,0.048689610702269216,235.41644762125452,-1.5833290716396382,-1
258,0,2017,,,50.0,1.0,0.0,0.0,-99
262,0,2017,,,50.0,1.0,0.0,0.0,-99
266,0,2017,4.291417462734105,0.0016606391746424067,91.5,0.005319686062957794,7.8730425373651105,81.88063298744422,1
