id_bgl,basin_level,start_year,t_score,p_t,u_score,p_u,baseline_median,delta,mean,std,thd_low,thd_high,alpha,p_thd,decision
1110_232,4,2017,1.646490267162768,0.1158003517695925,80.5,0.0414225387933013,0.5576280311506709,1133.756387603068,0.3924452144384922,8.32365694075951,-7.931211726321017,8.716102155198001,1,0.025,0
1110_729,4,2017,,,50.0,1.0,0.0,0.0,0.3924452144384922,8.32365694075951,-7.931211726321017,8.716102155198001,1,0.025,-99
1110_818,4,2017,,,50.0,1.0,0.0,0.0,0.3924452144384922,8.32365694075951,-7.931211726321017,8.716102155198001,1,0.025,-99
1120_231,4,2017,,,50.0,1.0,0.0,0.0,0.3924452144384922,8.32365694075951,-7.931211726321017,8.716102155198001,1,0.025,-99
1120_706,4,2017,,,50.0,1.0,0.0,0.0,0.3924452144384922,8.32365694075951,-7.931211726321017,8.716102155198001,1,0.025,-99
1121_231,4,2017,,,50.0,1.0,0.0,0.0,0.3924452144384922,8.32365694075951,-7.931211726321017,8.716102155198001,1,0.025,-99
1121_232,4,2017,,,50.0,1.0,0.0,0.0,0.3924452144384922,8.32365694075951,-7.931211726321017,8.716102155198001,1,0.025,-99
1121_262,4,2017,,,50.0,1.0,0.0,0.0,0.3924452144384922,8.32365694075951,-7.931211726321017,8.716102155198001,1,0.025,-99
1121_706,4,2017,,,50.0,1.0,0.0,0.0,0.3924452144384922,8.32365694075951,-7.931211726321017,8.716102155198001,1,0.025,-99
1122_706,4,2017,,,50.0,1.0,0.0,0.0,0.3924452144384922,8.32365694075951,-7.931211726321017,8.716102155198001,1,0.025,-99
1123_706,4,2017,,,50.0,1.0,0.0,0.0,0.3924452144384922,8.32365694075951,-7.931211726321017,8.716102155198001,1,0.025,-99
1124_706,4,2017,,,50.0,1.0,0.0,0.0,0.3924452144384922,8.32365694075951,-7.931211726321017,8.716102155198001,1,0.025,-99
1125_706,4,2017,,,50.0,1.0,0.0,0.0,0.3924452144384922,8.32365694075951,-7.931211726321017,8.716102155198001,1,0.025,-99
1126_706,4,2017,,,50.0,1.0,0.0,0.0,0.3924452144384922,8.32365694075951,-7.931211726321017,8.716102155198001,1,0.025,-99
1127_706,4,2017,,,50.0,1.0,0.0,0.0,0.3924452144384922,8.32365694075951,-7.931211726321017,8.716102155198001,1,0.025,-99
1128_706,4,2017,,,50.0,1.0,0.0,0.0,0.3924452144384922,8.32365694075951,-7.931211726321017,8.716102155198001,1,0.025,-99
1129_706,4,2017,,,50.0,1.0,0.0,0.0,0.3924452144384922,8.32365694075951,-7.931211726321017,8.716102155198001,1,0.025,-99
1130_887,4,2017,,,50.0,1.0,0.0,0.0,0.3924452144384922,8.32365694075951,-7.931211726321017,8.716102155198001,1,0.025,-99
1140_231,4,2017,,,50.0,1.0,0.0,0.0,0.3924452144384922,8.32365694075951,-7.931211726321017,8.716102155198001,1,0.025,-99
1140_404,4,2017,,,50.0,1.0,0.0,0.0,0.3924452144384922,8.32365694075951,-7.931211726321017,8.716102155198001,1,0.025,-99
