id_bgl,basin_level,start_year,t_score,u_score,p_t,p_u,sign_diff,delta
111011_818,6,2017,,50.0,,1.0,,0.0
111012_818,6,2017,,50.0,,1.0,,0.0
111013_818,6,2017,,50.0,,1.0,,0.0
111014_818,6,2017,,50.0,,1.0,,0.0
111015_818,6,2017,,50.0,,1.0,,0.0
111016_818,6,2017,,50.0,,1.0,,0.0
111017_818,6,2017,,50.0,,1.0,,0.0
111018_818,6,2017,,50.0,,1.0,,0.0
111019_818,6,2017,,50.0,,1.0,,0.0
111020_729,6,2017,,50.0,,1.0,,0.0
111020_818,6,2017,,50.0,,1.0,,0.0
111030_729,6,2017,,50.0,,1.0,,0.0
111030_818,6,2017,,50.0,,1.0,,0.0
111041_729,6,2017,,50.0,,1.0,,0.0
111042_729,6,2017,,50.0,,1.0,,0.0
111043_729,6,2017,,50.0,,1.0,,0.0
111044_729,6,2017,,50.0,,1.0,,0.0
111045_729,6,2017,,50.0,,1.0,,0.0
111046_729,6,2017,,50.0,,1.0,,0.0
111047_729,6,2017,,50.0,,1.0,,0.0
111048_729,6,2017,,50.0,,1.0,,0.0
111049_729,6,2017,,50.0,,1.0,,0.0
111050_729,6,2017,,50.0,,1.0,,0.0
111060_729,6,2017,,50.0,,1.0,,0.0
111070_729,6,2017,,50.0,,1.0,,0.0
111081_232,6,2017,,50.0,,1.0,,0.0
111081_729,6,2017,,50.0,,1.0,,0.0
111082_232,6,2017,,50.0,,1.0,,0.0
111082_729,6,2017,,50.0,,1.0,,0.0
111083_232,6,2017,,50.0,,1.0,,0.0
111083_729,6,2017,,50.0,,1.0,,0.0
111084_232,6,2017,,50.0,,1.0,,0.0
111084_729,6,2017,,50.0,,1.0,,0.0
111085_232,6,2017,,50.0,,1.0,,0.0
111085_729,6,2017,,50.0,,1.0,,0.0
111086_232,6,2017,,50.0,,1.0,,0.0
111087_232,6,2017,1.6753675826581726,81.5,0.10992980747010939,0.034920175601831985,1.0,32925.414910552914
111088_232,6,2017,,50.0,,1.0,,0.0
111089_232,6,2017,-1.6262825177587497,24.5,0.12134481529492028,0.08924454710859073,-1.0,-19.47778815286116
111090_232,6,2017,,50.0,,1.0,,0.0
111091_729,6,2017,,50.0,,1.0,,0.0
111092_729,6,2017,,50.0,,1.0,,0.0
111093_232,6,2017,,50.0,,1.0,,0.0
111093_729,6,2017,,50.0,,1.0,,0.0
111094_232,6,2017,,50.0,,1.0,,0.0
111095_232,6,2017,,50.0,,1.0,,0.0
111096_232,6,2017,,50.0,,1.0,,0.0
111097_232,6,2017,,50.0,,1.0,,0.0
111098_232,6,2017,,50.0,,1.0,,0.0
111099_232,6,2017,,50.0,,1.0,,0.0
112011_706,6,2017,,50.0,,1.0,,0.0
112012_231,6,2017,,50.0,,1.0,,0.0
112012_706,6,2017,,50.0,,1.0,,0.0
112013_231,6,2017,,50.0,,1.0,,0.0
112013_706,6,2017,,50.0,,1.0,,0.0
112014_231,6,2017,,50.0,,1.0,,0.0
112014_706,6,2017,,50.0,,1.0,,0.0
112015_706,6,2017,,50.0,,1.0,,0.0
112016_231,6,2017,,50.0,,1.0,,0.0
112016_706,6,2017,,50.0,,1.0,,0.0
112017_231,6,2017,,50.0,,1.0,,0.0
112017_706,6,2017,,50.0,,1.0,,0.0
112018_231,6,2017,,50.0,,1.0,,0.0
112018_706,6,2017,,50.0,,1.0,,0.0
112019_231,6,2017,,50.0,,1.0,,0.0
112019_706,6,2017,,50.0,,1.0,,0.0
112020_706,6,2017,,50.0,,1.0,,0.0
112030_706,6,2017,,50.0,,1.0,,0.0
112041_706,6,2017,,50.0,,1.0,,0.0
112042_706,6,2017,,50.0,,1.0,,0.0
