id_bgl,basin_level,start_year,t_score,p_t,u_score,p_u,baseline_median,delta,u_sign
111011_818,6,2017,3.630330888944448,0.01696973597133861,95.5,0.0022214145869887034,0.442409021859559,78.2486864354101,1
111012_818,6,2017,1.713165262597267,0.16178450723204474,77.5,0.00865040589509753,0.0,233816722175099.94,-99
111013_818,6,2017,4.115080646456875,0.005805081747262302,93.5,0.003467193190765815,0.0202065970305828,94.9341678585579,-99
111014_818,6,2017,1.4288524008325487,0.22624966346429948,70.0,0.0048840630105475985,0.0,0.0,0
111015_818,6,2017,5.924559211173556,5.248011795021098e-06,93.5,0.003467193190765815,20.1924737226363,28.648593793238007,1
111016_818,6,2017,1.7502420493826145,0.15293776549202778,85.0,0.011361971023704608,0.0021340360992825,18.819244011759693,-99
111017_818,6,2017,5.642956213771036,1.039228942601608e-05,87.5,0.011899644584157432,8.445764499911856,30.231396426345903,1
111018_818,6,2017,2.131704345025976,0.09716274585334869,86.5,0.008183796885243006,0.0027366247986826,69.66159605612816,-99
111019_818,6,2017,5.88365232102621,8.290202158824198e-06,95.5,0.0022214145869887034,11.85701282054135,29.663405906111407,1
111020_729,6,2017,1.4344867261724117,0.22474747918877525,70.0,0.0048840630105475985,0.0,0.0,0
111020_818,6,2017,1.0,0.373900966300059,60.0,0.05743311963200361,0.0,0.0,0
111030_729,6,2017,4.453853009298121,0.000509098130428511,90.5,0.006547287612860911,11.4138140563382,30.422408821535562,1
111030_818,6,2017,,,50.0,1.0,0.0,0.0,0
111041_729,6,2017,1.7421666197948598,0.15633232798866462,82.5,0.026955361863833766,0.0041673334199003,99.70838996088803,-99
111042_729,6,2017,,,50.0,1.0,0.0,0.0,0
111043_729,6,2017,,,50.0,1.0,0.0,0.0,0
111044_729,6,2017,1.632993161782379,0.17780780837150378,70.0,0.0048840630105475985,0.0,0.0,0
111045_729,6,2017,,,50.0,1.0,0.0,0.0,0
111046_729,6,2017,,,50.0,1.0,0.0,0.0,0
111047_729,6,2017,,,50.0,1.0,0.0,0.0,0
111048_729,6,2017,,,50.0,1.0,0.0,0.0,0
111049_729,6,2017,,,50.0,1.0,0.0,0.0,0
111050_729,6,2017,6.7996989227643585,6.394209923951298e-07,95.5,0.0022214145869887034,7.781344476369934,20.838338297413486,1
111060_729,6,2017,4.022838276490494,0.004206191103310559,88.5,0.006887218146448293,0.0008155002683291,129648.22058326314,-99
111070_729,6,2017,2.982960352341738,0.026313138792022617,86.5,0.014399864726701132,5.884600482550995,16.820430719220308,1
111081_232,6,2017,,,50.0,1.0,0.0,0.0,0
111081_729,6,2017,1.1786620490879454,0.2952874959362946,64.5,0.13614809870947409,0.0,0.0,0
111082_232,6,2017,,,50.0,1.0,0.0,0.0,0
111082_729,6,2017,1.384167672085339,0.238523242991426,70.0,0.0048840630105475985,0.0,0.0,0
111083_232,6,2017,,,50.0,1.0,0.0,0.0,0
111083_729,6,2017,1.6329931618554523,0.1778078083562211,70.0,0.004847015464085543,0.0,0.0,0
111084_232,6,2017,1.1676815957025615,0.2801564632513768,71.5,0.1534378834105726,0.4890351130452475,3.3476574468088947,1
111084_729,6,2017,,,50.0,1.0,0.0,0.0,0
111085_232,6,2017,0.6869765133749444,0.5257551102500254,55.5,0.5472212227674071,0.0,0.0,0
111085_729,6,2017,,,50.0,1.0,0.0,0.0,0
111086_232,6,2017,,,50.0,1.0,0.0,0.0,0
111087_232,6,2017,5.257244777435153,0.000755343607731521,94.5,0.002190217161010717,0.0043024450424127,9116.244422695923,-99
111088_232,6,2017,4.60735907105592,0.0001450892036958674,81.5,0.03314312350558789,0.0142523739777971,100.00069796717132,-99
111089_232,6,2017,4.055919844795271,0.004215007551268162,90.5,0.006536929806265977,0.01812777714803815,242.84936200047431,-99
111090_232,6,2017,,,50.0,1.0,0.0,0.0,0
111091_729,6,2017,1.8866205780222272,0.13163239480307778,87.0,0.0009284791593993322,0.0,84843998774880.0,-99
111092_729,6,2017,2.115130454342125,0.0973682560656503,77.5,0.00865040589509753,0.0,255716830724849.94,-99
111093_232,6,2017,5.384495345221585,2.6472182873592968e-05,88.5,0.00979219587072503,2.3569270236819397,23.15415710436627,1
111093_729,6,2017,2.6544002131990565,0.04730351092381718,90.5,0.006547287612860911,1.46197536072509,37.23935786628105,1
111094_232,6,2017,,,50.0,1.0,0.0,0.0,0
111095_232,6,2017,0.8633898004247025,0.42773318446355246,59.5,0.5379292891902461,0.115583637537544,3.134596220855327,1
111096_232,6,2017,1.2139556035780714,0.2834264080881906,76.5,0.005645673181868267,0.0,517374102491879.9,-99
111097_232,6,2017,-1.9368726148349014,0.06731183206492325,57.5,0.6341948173294822,0.108357055823081,24.290509824139455,1
111098_232,6,2017,2.922655542434518,0.029029839476175507,89.5,0.007951414823043972,0.0051875370554626,583.4282520047295,-99
111099_232,6,2017,5.626300762760846,1.2020907997532761e-05,88.5,0.00979219587072503,32.35640189607315,26.76558071701968,1
112011_706,6,2017,,,50.0,1.0,0.0,0.0,0
112012_231,6,2017,,,50.0,1.0,0.0,0.0,0
112012_706,6,2017,,,50.0,1.0,0.0,0.0,0
112013_231,6,2017,,,50.0,1.0,0.0,0.0,0
112013_706,6,2017,,,50.0,1.0,0.0,0.0,0
112014_231,6,2017,,,50.0,1.0,0.0,0.0,0
112014_706,6,2017,0.7276068751089989,0.5028287114892881,57.5,0.3119010174389465,0.0,0.0,0
112015_706,6,2017,,,50.0,1.0,0.0,0.0,0
112016_231,6,2017,0.7276068751089989,0.502828711489288,57.5,0.3119010174389465,0.0,0.0,0
112016_706,6,2017,,,50.0,1.0,0.0,0.0,0
112017_231,6,2017,,,50.0,1.0,0.0,0.0,0
112017_706,6,2017,,,50.0,1.0,0.0,0.0,0
112018_231,6,2017,-0.7518038521176713,0.4653691767185314,48.0,0.8840279686806821,0.0,0.0,0
112018_706,6,2017,1.396414638591695,0.22255355278678435,70.0,0.09238008162314501,0.0,88372168829660.0,-99
112019_231,6,2017,-0.9693207336259635,0.3609414573895136,40.0,0.5181861730592512,0.0172076221788302,-2.5489277624562097,-99
112019_706,6,2017,1.3871553970951709,0.23645138025354767,72.5,0.0811143804875287,0.0,352982594631609.94,-99
112020_706,6,2017,,,50.0,1.0,0.0,0.0,0
112030_706,6,2017,,,50.0,1.0,0.0,0.0,0
112041_706,6,2017,,,50.0,1.0,0.0,0.0,0
112042_706,6,2017,,,50.0,1.0,0.0,0.0,0
112043_706,6,2017,,,50.0,1.0,0.0,0.0,0
112044_706,6,2017,,,50.0,1.0,0.0,0.0,0
112045_706,6,2017,,,50.0,1.0,0.0,0.0,0
112046_231,6,2017,0.7276068751089989,0.5028287114892881,57.5,0.3119010174389465,0.0,0.0,0
112046_706,6,2017,,,50.0,1.0,0.0,0.0,0
112047_231,6,2017,1.152301998078975,0.31337745568112074,70.0,0.0048840630105475985,0.0,0.0,0
112047_706,6,2017,,,50.0,1.0,0.0,0.0,0
112048_231,6,2017,,,50.0,1.0,0.0,0.0,0
112049_231,6,2017,-1.6674344503360483,0.1382766551396046,29.5,0.17282063628661037,0.0092899079318158,-23.788231212867526,-99
112050_706,6,2017,,,50.0,1.0,0.0,0.0,0
112060_706,6,2017,,,50.0,1.0,0.0,0.0,0
112070_706,6,2017,,,50.0,1.0,0.0,0.0,0
112111_231,6,2017,3.5441653368073247,0.016007952511670656,92.5,0.0005657392424534978,0.0,1229789102217180.0,-99
112111_232,6,2017,1.5738816744724913,0.18971062362570917,87.5,0.011899644584157432,5.254751002073155,69.69580114462136,1
112111_262,6,2017,2.4070974164576207,0.05918324047823896,83.5,0.02488372328270136,4.853357041723265,23.56856948658256,1
112111_706,6,2017,2.753638553998082,0.011812534895915302,68.5,0.2211162550702167,2.682369900759605,10.870378997021737,1
112112_231,6,2017,,,50.0,1.0,0.0,0.0,0
112112_706,6,2017,,,50.0,1.0,0.0,0.0,0
112113_706,6,2017,1.5436878025031293,0.16951203154503003,70.5,0.17398281795260206,0.2746575846121075,14.623056509572857,1
112114_231,6,2017,,,50.0,1.0,0.0,0.0,0
112114_706,6,2017,1.1950779593457412,0.2976998701243931,68.0,0.035139044972586346,0.0,0.0,0
112115_706,6,2017,3.18882814058775,0.027588140760076808,94.5,0.002781224934389138,0.16784999682864749,181.69434803025797,1
112116_706,6,2017,5.204206222523381,0.00020363908893676556,91.5,0.005188468557027893,0.0047228788172908,208.84381940437356,-99
112117_706,6,2017,4.311609896074428,0.0022765762303108444,92.5,0.004303876558312955,0.1716441153861385,51.24337414574314,1
112118_706,6,2017,-0.9068714666673935,0.37388589360100677,51.5,0.9345432129154129,0.0,0.0,0
112119_706,6,2017,5.380524779170487,9.366989909281925e-05,91.5,0.005319686062957794,0.3526905367049325,147.1864575517997,1
112120_706,6,2017,1.0372041624770199,0.3357826668211925,58.0,0.6035489363398227,0.0008789435960352,99.99999999988624,-99
112130_706,6,2017,5.803424715831054,2.064828166651223e-05,93.5,0.003467193190765815,0.322246921944715,99.10427675937548,1
112140_706,6,2017,2.257671636910726,0.0809837498877956,81.5,0.027100906998314363,0.00016366230157275,2512.6361408275084,-99
112150_706,6,2017,6.466837388748206,3.4473449691452365e-06,90.5,0.006547287612860911,0.028821598305526698,129.2363174647251,1
112160_706,6,2017,3.7261844262826798,0.0027578334964247046,85.5,0.017352389190761427,0.07159780008643045,49.87669335627129,1
112170_706,6,2017,-0.9508563182196789,0.374803788285095,41.5,0.5865744278376042,0.35318728262232146,-0.6501591956231262,-1
112180_706,6,2017,5.465882640668857,0.00024000026002062407,92.5,0.004303876558312955,0.07783130677257136,84.12728795703038,1
112190_706,6,2017,2.636759589977389,0.03381308461996314,78.5,0.05699830641051993,2.466955331869665,14.817448286141364,1
112200_706,6,2017,1.3998683248802073,0.22883569150642918,67.0,0.04699263513637775,0.0,0.0,0
112300_706,6,2017,4.52553207558354,0.000300977823661304,88.5,0.00979219587072503,4.831219340701175,4.437248754600583,1
112400_706,6,2017,1.5356179424630647,0.18958637277519225,67.5,0.2401906043306089,0.00540530056665265,97.24627816813431,-99
112500_706,6,2017,1.0194213530556977,0.34638446449218746,67.5,0.24784912392821346,0.0849337297661787,15.517106570101232,1
112600_706,6,2017,1.8781063261648872,0.11094646755323817,78.0,0.06142599885114648,0.026504942507017397,23.333333003916444,1
112700_706,6,2017,2.7574920831279734,0.013749879831038743,75.5,0.08924454710859073,0.24550722802980052,19.07224153030789,1
112801_706,6,2017,1.5356510361555826,0.1993731645956158,64.5,0.312950675522914,0.0007084699347615,0.0,0
112802_706,6,2017,,,50.0,1.0,0.0,0.0,0
112803_706,6,2017,,,50.0,1.0,0.0,0.0,0
112804_706,6,2017,,,50.0,1.0,0.0,0.0,0
112805_706,6,2017,,,50.0,1.0,0.0,0.0,0
112806_706,6,2017,1.0,0.373900966300059,60.0,0.05743311963200361,0.0,0.0,0
112807_706,6,2017,,,50.0,1.0,0.0,0.0,0
112808_706,6,2017,,,50.0,1.0,0.0,0.0,0
112809_706,6,2017,,,50.0,1.0,0.0,0.0,0
112901_706,6,2017,-6.650633576300816,1.1562111702169416e-06,6.5,0.003467193190765815,0.291801173762332,-58.183096168702875,-1
112902_706,6,2017,-1.960311639750978,0.10008808496162742,24.5,0.08924454710859073,0.05118054244210765,-21.25427067397387,-1
112903_706,6,2017,-5.491187133855874,1.3909742052438114e-05,11.5,0.00979219587072503,1.4953940448752951,-42.3091596712704,-1
112904_706,6,2017,-0.5460844201536444,0.6056012533395251,41.5,0.5856345252703523,0.00206637444070485,-4.377107459568375,-99
112905_706,6,2017,-3.5585749386904038,0.001889820688670163,20.5,0.048689610702269216,0.08682550716627041,-32.64397136755668,-1
112906_706,6,2017,-2.8840258828195267,0.025094268676087227,15.5,0.020822974945909827,0.0144338484848941,-20.57362688732271,-99
112907_706,6,2017,-5.01785257902812,6.505587005446374e-05,11.5,0.00979219587072503,0.250886551516505,-39.536826166053004,-1
112908_706,6,2017,-2.921449081103619,0.01007175320374952,23.0,0.07055411887103118,0.0036746911943077,-60.397926901425826,-99
112909_706,6,2017,-6.1573205454482425,2.7986515021684406e-06,9.5,0.006547287612860911,22.5923686796053,-23.28361259413859,-1
113000_887,6,2017,-3.4933342301545167,0.003948884020115599,17.5,0.029613094352645416,2.564778928132385,-16.396393265248275,-1
114001_231,6,2017,2.778937609283858,0.03338859255792741,83.5,0.024301552729281403,0.0053463591611944,99.9909297522037,-99
114001_404,6,2017,1.5609331640780841,0.1907316945416457,74.5,0.10140986253562935,0.002232519473182,259.9412270705558,-99
114002_404,6,2017,,,50.0,1.0,0.0,0.0,0
114100_706,6,2017,-2.523751113893718,0.026692667777473176,25.5,0.10280164223951978,0.2206889365419665,-70.83422406358235,-1
114210_404,6,2017,,,50.0,1.0,0.0,0.0,0
114210_706,6,2017,1.8159984885801421,0.13874232735143047,66.5,0.26562348411637127,0.0044698730926029,1185460.6814379306,-99
114221_706,6,2017,1.0,0.373900966300059,60.0,0.05743311963200361,0.0,0.0,0
114222_706,6,2017,1.6673617654554538,0.15995960423414993,75.0,0.017153506979678382,0.0,89378270786250.0,-99
114223_706,6,2017,,,50.0,1.0,0.0,0.0,0
114224_231,6,2017,-3.2849080106065425,0.01420061191029124,12.5,0.011866976415705938,0.022302813740679953,-63.99788550156029,-99
114224_404,6,2017,1.7269647104252737,0.12023894549031178,79.5,0.048689610702269216,0.01740287250140685,279.6372470523879,-99
114224_706,6,2017,,,50.0,1.0,0.0,0.0,0
114225_706,6,2017,,,50.0,1.0,0.0,0.0,0
114226_404,6,2017,1.6329931615551914,0.177807808419018,70.0,0.0048840630105475985,0.0,0.0,0
114226_706,6,2017,0.7665133937870693,0.48446977920675266,50.5,1.0,0.0,0.0,0
114227_231,6,2017,2.2196312883656963,0.08589090254853347,84.5,0.0035210440435177,0.0,356762588489799.94,-99
114227_404,6,2017,3.425348540189468,0.015137591775392648,89.5,0.008011880888046946,0.0165056453552097,337.8709344023241,-99
114227_706,6,2017,,,50.0,1.0,0.0,0.0,0
114228_231,6,2017,1.550133859107588,0.19200622040636897,73.5,0.04844507648501361,0.0,89141284115610.0,-99
114229_231,6,2017,-0.32318729516846817,0.7588556755101065,43.5,0.6833800574551345,0.0254276563646272,-36.84773969899998,-1
114229_404,6,2017,,,50.0,1.0,0.0,0.0,0
114230_706,6,2017,,,50.0,1.0,0.0,0.0,0
114240_404,6,2017,1.3034237171696772,0.26045043699700726,65.5,0.1448197252850168,0.0,0.0,0
114240_706,6,2017,,,50.0,1.0,0.0,0.0,0
114250_404,6,2017,0.6907531658780526,0.5226273838421157,57.0,0.3481446249530623,0.0,0.0,0
114250_706,6,2017,,,50.0,1.0,0.0,0.0,0
114260_404,6,2017,,,50.0,1.0,0.0,0.0,0
114270_404,6,2017,,,50.0,1.0,0.0,0.0,0
114281_404,6,2017,-1.4529663145135576,0.16254999902972705,45.0,0.5156382177966408,0.0,0.0,0
114282_404,6,2017,,,50.0,1.0,0.0,0.0,0
114283_404,6,2017,,,50.0,1.0,0.0,0.0,0
114284_404,6,2017,-1.0000000000000002,0.3298768009211248,47.5,0.6891565167793516,0.0,0.0,0
114285_404,6,2017,,,50.0,1.0,0.0,0.0,0
114286_404,6,2017,,,50.0,1.0,0.0,0.0,0
114287_404,6,2017,1.499978993197066,0.20800516269695957,70.0,0.0048840630105475985,0.0,0.0,0
114288_404,6,2017,3.18746350314615,0.009469966005350395,85.0,0.014152957736794163,0.0,268138817045829.97,-99
114289_404,6,2017,3.1379701236760824,0.010761697419077893,80.5,0.04142253879330133,0.4652735221607145,84.62921567604492,1
114290_404,6,2017,1.4892060061453485,0.2061122840078884,73.5,0.11794806736103866,1.6426026332195551,29.78212778168282,1
114300_706,6,2017,1.6588547265726663,0.16595903527440484,73.5,0.11794806736103866,0.07419987523462626,665.0599718382609,1
114410_706,6,2017,0.6647015740530893,0.5403357742961072,60.5,0.3644557328086986,0.0,0.0,0
114411_706,6,2017,2.019624615418613,0.10099143825938002,78.5,0.05699830641051993,4.5771004641534745,75.09174882195111,1
114412_706,6,2017,1.5287850876178763,0.18424986622826256,72.5,0.1339655061856097,0.0026794063742272,66.66810335302142,-99
114413_706,6,2017,-6.218709000816163,3.6803376005548428e-06,8.5,0.005319686062957794,0.33532546466449253,-97.33771326380119,-1
114414_706,6,2017,1.5542160350856564,0.18747822867025626,74.5,0.10280164223951978,0.0066949834581464,233.34174788948903,-99
114416_706,6,2017,,,50.0,1.0,0.0,0.0,0
114417_706,6,2017,-5.824876514506642,9.945240896521322e-06,11.5,0.00979219587072503,0.264602865703637,-98.65097256666022,-1
114418_706,6,2017,1.0332235068743991,0.3565627423218414,58.5,0.585924405644844,0.00357013399479905,50.009064239350565,-99
114419_706,6,2017,-5.553328788645056,1.819526311423534e-05,17.5,0.029613094352645416,0.6875865673162405,-97.53488626115558,-1
114420_231,6,2017,1.0,0.373900966300059,60.0,0.05743311963200361,0.0,0.0,0
114420_706,6,2017,1.5241417395784859e-06,0.9999988327330123,50.5,1.0,0.0008918001549318,99.99283337054312,-99
114430_231,6,2017,-4.359471507929514,0.00024608686593006454,23.5,0.0771659313616824,0.06972234549420865,-91.04881763145089,-1
114430_706,6,2017,-5.6866640154953485,1.0711289466978129e-05,14.5,0.017352389190761427,1.795563172012475,-96.57308606112535,-1
114441_231,6,2017,-2.713939790668437,0.01376864549786827,32.5,0.14306184071139552,0.0,0.0,0
114441_404,6,2017,,,50.0,1.0,0.0,0.0,0
114441_706,6,2017,0.9679274917013782,0.3781165698493292,62.5,0.2396927627322719,0.0,0.0,0
114442_404,6,2017,,,50.0,1.0,0.0,0.0,0
114442_706,6,2017,,,50.0,1.0,0.0,0.0,0
114443_231,6,2017,1.4825879684294907,0.19833237640366563,72.5,0.13471706613220763,0.015604334155796101,111.43849784224207,-99
114443_404,6,2017,1.1969113416011719,0.28866472659877807,82.5,0.029550379410739677,0.043699762230971856,55.10546397439965,1
114444_231,6,2017,2.1999999999999997,0.08735669459502585,77.5,0.0038965004359573976,0.0,89053437113760.0,-99
114445_231,6,2017,0.960872823174505,0.3820832342470391,65.0,0.3137357758992032,0.00178253711783325,99.9986219847175,-99
114446_231,6,2017,-3.7774133421731957,0.0018379858054442025,17.5,0.029550379410739677,0.0106995600508526,-66.67228221417558,-99
114447_231,6,2017,-2.3022405820522787,0.06451745720981408,17.5,0.029613094352645416,0.0507416791515425,-63.15796372204142,-1
114448_231,6,2017,0.6373802165044663,0.5531998619196878,59.5,0.5406815690956761,0.5663749355589975,36.63009884925923,1
114449_231,6,2017,-4.8767347493081825,6.872748282146755e-05,15.5,0.020822974945909827,0.26734511120594096,-43.759314835076665,-1
114450_231,6,2017,-4.163777104143568,0.0006913396299786848,17.5,0.029613094352645416,0.369326594499095,-73.75146648116181,-1
114460_231,6,2017,4.548500669815799,0.00026866284848974415,92.5,0.004303876558312955,0.0719037399976514,30.86376233582308,1
114470_231,6,2017,-0.3794337302205532,0.7212343770471707,33.5,0.27676572286017653,1.625983906299785,-44.57861316049745,-1
114480_231,6,2017,1.5592354305972582,0.19210714240729648,71.0,0.15857310520262824,0.0017782120266929,99.72372661367982,-99
