id_bgl,basin_level,start_year,t_score,p_t,u_score,p_u,baseline_median,delta
1110_232,4,2000,-2.818733153588561,0.01096566378390099,34.5,0.30461880966392085,0.469616144720931,-0.3676327904358838
1110_232,4,2005,-2.825546124166687,0.010802207206661647,25.0,0.09448826131903607,0.469616144720931,-0.9190902370020076
1110_232,4,2010,-0.542281181156781,0.5990498581822583,53.0,0.8645139930906288,0.469616144720931,0.0
1110_232,4,2015,3.3074142981226733,0.012697164394014917,87.5,0.011704264901870116,0.469616144720931,6909.649396688797
1110_232,4,2017,8.64943363787126,2.381394108756274e-08,89.5,0.007903211515051732,0.469616144720931,6909.649396688797
1110_729,4,2000,,,50.0,1.0,0.0,0.0
1110_729,4,2005,,,50.0,1.0,0.0,0.0
1110_729,4,2010,,,50.0,1.0,0.0,0.0
1110_729,4,2015,,,50.0,1.0,0.0,0.0
1110_729,4,2017,,,50.0,1.0,0.0,0.0
1110_818,4,2000,,,50.0,1.0,0.0,0.0
1110_818,4,2005,,,50.0,1.0,0.0,0.0
1110_818,4,2010,,,50.0,1.0,0.0,0.0
1110_818,4,2015,,,50.0,1.0,0.0,0.0
1110_818,4,2017,,,50.0,1.0,0.0,0.0
1120_231,4,2000,,,50.0,1.0,0.0,0.0
1120_231,4,2005,,,50.0,1.0,0.0,0.0
1120_231,4,2010,,,50.0,1.0,0.0,0.0
1120_231,4,2015,,,50.0,1.0,0.0,0.0
1120_231,4,2017,,,50.0,1.0,0.0,0.0
1120_706,4,2000,,,50.0,1.0,0.0,0.0
1120_706,4,2005,,,50.0,1.0,0.0,0.0
1120_706,4,2010,,,50.0,1.0,0.0,0.0
1120_706,4,2015,,,50.0,1.0,0.0,0.0
1120_706,4,2017,,,50.0,1.0,0.0,0.0
1121_231,4,2000,,,50.0,1.0,0.0,0.0
1121_231,4,2005,,,50.0,1.0,0.0,0.0
1121_231,4,2010,,,50.0,1.0,0.0,0.0
1121_231,4,2015,,,50.0,1.0,0.0,0.0
1121_231,4,2017,,,50.0,1.0,0.0,0.0
1121_232,4,2000,,,50.0,1.0,0.0,0.0
1121_232,4,2005,,,50.0,1.0,0.0,0.0
1121_232,4,2010,,,50.0,1.0,0.0,0.0
1121_232,4,2015,,,50.0,1.0,0.0,0.0
1121_232,4,2017,,,50.0,1.0,0.0,0.0
1121_262,4,2000,,,50.0,1.0,0.0,0.0
1121_262,4,2005,,,50.0,1.0,0.0,0.0
1121_262,4,2010,,,50.0,1.0,0.0,0.0
1121_262,4,2015,,,50.0,1.0,0.0,0.0
1121_262,4,2017,,,50.0,1.0,0.0,0.0
1121_706,4,2000,,,50.0,1.0,0.0,0.0
1121_706,4,2005,,,50.0,1.0,0.0,0.0
1121_706,4,2010,,,50.0,1.0,0.0,0.0
1121_706,4,2015,,,50.0,1.0,0.0,0.0
1121_706,4,2017,,,50.0,1.0,0.0,0.0
1122_706,4,2000,,,50.0,1.0,0.0,0.0
1122_706,4,2005,,,50.0,1.0,0.0,0.0
1122_706,4,2010,,,50.0,1.0,0.0,0.0
1122_706,4,2015,,,50.0,1.0,0.0,0.0
1122_706,4,2017,,,50.0,1.0,0.0,0.0
1123_706,4,2000,,,50.0,1.0,0.0,0.0
1123_706,4,2005,,,50.0,1.0,0.0,0.0
1123_706,4,2010,,,50.0,1.0,0.0,0.0
1123_706,4,2015,,,50.0,1.0,0.0,0.0
1123_706,4,2017,,,50.0,1.0,0.0,0.0
1124_706,4,2000,,,50.0,1.0,0.0,0.0
1124_706,4,2005,,,50.0,1.0,0.0,0.0
1124_706,4,2010,,,50.0,1.0,0.0,0.0
1124_706,4,2015,,,50.0,1.0,0.0,0.0
1124_706,4,2017,,,50.0,1.0,0.0,0.0
1125_706,4,2000,,,50.0,1.0,0.0,0.0
1125_706,4,2005,,,50.0,1.0,0.0,0.0
1125_706,4,2010,,,50.0,1.0,0.0,0.0
1125_706,4,2015,,,50.0,1.0,0.0,0.0
