id_bgl,basin_level,start_year,t_score,p_t,u_score,p_u,baseline_median,delta
1110_232,4,2000,-2.6179129405291794,0.016889634372123322,25.5,0.1026691721573245,0.5576280311506709,-17.192186812316304
1110_232,4,2005,-2.5183035038394506,0.020848417054034892,32.5,0.24766697136682303,0.5576280311506709,-18.727972193077044
1110_232,4,2010,0.49356123000139174,0.6401425088493105,59.5,0.5405256097346169,0.5576280311506709,769.0927016680612
1110_232,4,2015,1.446663362129997,0.2041195623447246,82.5,0.029550379410739677,0.5576280311506709,1229.8609785008973
1110_232,4,2017,1.646490267162769,0.1158003517695923,80.5,0.04142253879330133,0.5576280311506709,1133.7360561994667
1110_729,4,2000,,,50.0,1.0,0.0,0.0
1110_729,4,2005,,,50.0,1.0,0.0,0.0
1110_729,4,2010,,,50.0,1.0,0.0,0.0
1110_729,4,2015,,,50.0,1.0,0.0,0.0
1110_729,4,2017,,,50.0,1.0,0.0,0.0
1110_818,4,2000,,,50.0,1.0,0.0,0.0
1110_818,4,2005,,,50.0,1.0,0.0,0.0
1110_818,4,2010,,,50.0,1.0,0.0,0.0
1110_818,4,2015,,,50.0,1.0,0.0,0.0
1110_818,4,2017,,,50.0,1.0,0.0,0.0
1120_231,4,2000,,,50.0,1.0,0.0,0.0
1120_231,4,2005,,,50.0,1.0,0.0,0.0
1120_231,4,2010,,,50.0,1.0,0.0,0.0
1120_231,4,2015,,,50.0,1.0,0.0,0.0
1120_231,4,2017,,,50.0,1.0,0.0,0.0
1120_706,4,2000,,,50.0,1.0,0.0,0.0
1120_706,4,2005,,,50.0,1.0,0.0,0.0
1120_706,4,2010,,,50.0,1.0,0.0,0.0
1120_706,4,2015,,,50.0,1.0,0.0,0.0
1120_706,4,2017,,,50.0,1.0,0.0,0.0
1121_231,4,2000,,,50.0,1.0,0.0,0.0
1121_231,4,2005,,,50.0,1.0,0.0,0.0
1121_231,4,2010,,,50.0,1.0,0.0,0.0
1121_231,4,2015,,,50.0,1.0,0.0,0.0
1121_231,4,2017,,,50.0,1.0,0.0,0.0
