id_bgl,basin_level,start_year,t_score,p_t,u_score,mean,std,alpha,thd_low,thd_high,baseline_median,delta,p_u,p_thd,decision
111_232,3,2000,-2.6179129405291808,0.0168896343721232,25.5,0.7925300870448936,10.500287003664903,1.0,-9.70775691662001,11.292817090709796,0.5576280311506709,-17.192186812316304,0.1026691721573245,0.025,0
111_232,3,2005,-2.5183035038394515,0.0208484170540348,32.5,0.7925300870448936,10.500287003664903,1.0,-9.70775691662001,11.292817090709796,0.5576280311506709,-18.727972193077044,0.247666971366823,0.025,0
111_232,3,2010,0.4935612300013915,0.6401425088493105,59.5,0.7925300870448936,10.500287003664903,1.0,-9.70775691662001,11.292817090709796,0.5576280311506709,769.0927016680612,0.5405256097346169,0.025,0
111_232,3,2015,1.446663362129996,0.2041195623447249,82.5,0.7925300870448936,10.500287003664903,1.0,-9.70775691662001,11.292817090709796,0.5576280311506709,1229.860978500897,0.0295503794107396,0.025,0
111_232,3,2017,1.6464902671627688,0.1158003517695924,80.5,0.7925300870448936,10.500287003664903,1.0,-9.70775691662001,11.292817090709796,0.5576280311506709,1133.7360561994667,0.0414225387933013,0.025,0
111_729,3,2000,,,50.0,0.7925300870448936,10.500287003664903,1.0,-9.70775691662001,11.292817090709796,0.0,0.0,1.0,0.025,-99
111_729,3,2005,,,50.0,0.7925300870448936,10.500287003664903,1.0,-9.70775691662001,11.292817090709796,0.0,0.0,1.0,0.025,-99
111_729,3,2010,,,50.0,0.7925300870448936,10.500287003664903,1.0,-9.70775691662001,11.292817090709796,0.0,0.0,1.0,0.025,-99
111_729,3,2015,,,50.0,0.7925300870448936,10.500287003664903,1.0,-9.70775691662001,11.292817090709796,0.0,0.0,1.0,0.025,-99
111_729,3,2017,,,50.0,0.7925300870448936,10.500287003664903,1.0,-9.70775691662001,11.292817090709796,0.0,0.0,1.0,0.025,-99
111_818,3,2000,,,50.0,0.7925300870448936,10.500287003664903,1.0,-9.70775691662001,11.292817090709796,0.0,0.0,1.0,0.025,-99
111_818,3,2005,,,50.0,0.7925300870448936,10.500287003664903,1.0,-9.70775691662001,11.292817090709796,0.0,0.0,1.0,0.025,-99
111_818,3,2010,,,50.0,0.7925300870448936,10.500287003664903,1.0,-9.70775691662001,11.292817090709796,0.0,0.0,1.0,0.025,-99
111_818,3,2015,,,50.0,0.7925300870448936,10.500287003664903,1.0,-9.70775691662001,11.292817090709796,0.0,0.0,1.0,0.025,-99
111_818,3,2017,,,50.0,0.7925300870448936,10.500287003664903,1.0,-9.70775691662001,11.292817090709796,0.0,0.0,1.0,0.025,-99
112_231,3,2000,,,50.0,0.7925300870448936,10.500287003664903,1.0,-9.70775691662001,11.292817090709796,0.0,0.0,1.0,0.025,-99
112_231,3,2005,,,50.0,0.7925300870448936,10.500287003664903,1.0,-9.70775691662001,11.292817090709796,0.0,0.0,1.0,0.025,-99
112_231,3,2010,,,50.0,0.7925300870448936,10.500287003664903,1.0,-9.70775691662001,11.292817090709796,0.0,0.0,1.0,0.025,-99
112_231,3,2015,,,50.0,0.7925300870448936,10.500287003664903,1.0,-9.70775691662001,11.292817090709796,0.0,0.0,1.0,0.025,-99
112_231,3,2017,,,50.0,0.7925300870448936,10.500287003664903,1.0,-9.70775691662001,11.292817090709796,0.0,0.0,1.0,0.025,-99
112_232,3,2000,,,50.0,0.7925300870448936,10.500287003664903,1.0,-9.70775691662001,11.292817090709796,0.0,0.0,1.0,0.025,-99
112_232,3,2005,,,50.0,0.7925300870448936,10.500287003664903,1.0,-9.70775691662001,11.292817090709796,0.0,0.0,1.0,0.025,-99
112_232,3,2010,,,50.0,0.7925300870448936,10.500287003664903,1.0,-9.70775691662001,11.292817090709796,0.0,0.0,1.0,0.025,-99
112_232,3,2015,,,50.0,0.7925300870448936,10.500287003664903,1.0,-9.70775691662001,11.292817090709796,0.0,0.0,1.0,0.025,-99
112_232,3,2017,,,50.0,0.7925300870448936,10.500287003664903,1.0,-9.70775691662001,11.292817090709796,0.0,0.0,1.0,0.025,-99
112_262,3,2000,,,50.0,0.7925300870448936,10.500287003664903,1.0,-9.70775691662001,11.292817090709796,0.0,0.0,1.0,0.025,-99
112_262,3,2005,,,50.0,0.7925300870448936,10.500287003664903,1.0,-9.70775691662001,11.292817090709796,0.0,0.0,1.0,0.025,-99
112_262,3,2010,,,50.0,0.7925300870448936,10.500287003664903,1.0,-9.70775691662001,11.292817090709796,0.0,0.0,1.0,0.025,-99
112_262,3,2015,,,50.0,0.7925300870448936,10.500287003664903,1.0,-9.70775691662001,11.292817090709796,0.0,0.0,1.0,0.025,-99
112_262,3,2017,,,50.0,0.7925300870448936,10.500287003664903,1.0,-9.70775691662001,11.292817090709796,0.0,0.0,1.0,0.025,-99
112_706,3,2000,,,50.0,0.7925300870448936,10.500287003664903,1.0,-9.70775691662001,11.292817090709796,0.0,0.0,1.0,0.025,-99
112_706,3,2005,,,50.0,0.7925300870448936,10.500287003664903,1.0,-9.70775691662001,11.292817090709796,0.0,0.0,1.0,0.025,-99
112_706,3,2010,,,50.0,0.7925300870448936,10.500287003664903,1.0,-9.70775691662001,11.292817090709796,0.0,0.0,1.0,0.025,-99
112_706,3,2015,,,50.0,0.7925300870448936,10.500287003664903,1.0,-9.70775691662001,11.292817090709796,0.0,0.0,1.0,0.025,-99
112_706,3,2017,,,50.0,0.7925300870448936,10.500287003664903,1.0,-9.70775691662001,11.292817090709796,0.0,0.0,1.0,0.025,-99
113_887,3,2000,,,50.0,0.7925300870448936,10.500287003664903,1.0,-9.70775691662001,11.292817090709796,0.0,0.0,1.0,0.025,-99
113_887,3,2005,,,50.0,0.7925300870448936,10.500287003664903,1.0,-9.70775691662001,11.292817090709796,0.0,0.0,1.0,0.025,-99
113_887,3,2010,,,50.0,0.7925300870448936,10.500287003664903,1.0,-9.70775691662001,11.292817090709796,0.0,0.0,1.0,0.025,-99
113_887,3,2015,,,50.0,0.7925300870448936,10.500287003664903,1.0,-9.70775691662001,11.292817090709796,0.0,0.0,1.0,0.025,-99
113_887,3,2017,,,50.0,0.7925300870448936,10.500287003664903,1.0,-9.70775691662001,11.292817090709796,0.0,0.0,1.0,0.025,-99
114_231,3,2000,-2.313073121750311,0.0469703419131119,23.5,0.7925300870448936,10.500287003664903,1.0,-9.70775691662001,11.292817090709796,27.884757442565352,-10.179866355461712,0.0770520366188476,0.025,0
114_231,3,2005,0.722920003712152,0.4880655442421802,57.5,0.7925300870448936,10.500287003664903,1.0,-9.70775691662001,11.292817090709796,27.884757442565352,9.212909023924446,0.6340642040377586,0.025,0
114_231,3,2010,1.479450210426507,0.1696918619207794,65.5,0.7925300870448936,10.500287003664903,1.0,-9.70775691662001,11.292817090709796,27.884757442565352,15.81166114314463,0.3077139478434141,0.025,0
114_231,3,2015,0.1334971206397666,0.8989579628344504,53.5,0.7925300870448936,10.500287003664903,1.0,-9.70775691662001,11.292817090709796,27.884757442565352,-1.2867590957475157,0.8383487162012156,0.025,0
114_231,3,2017,0.2108809899519321,0.8391332467665285,52.5,0.7925300870448936,10.500287003664903,1.0,-9.70775691662001,11.292817090709796,27.884757442565352,7.460622624507553,0.8918594638362826,0.025,0
114_404,3,2000,,,50.0,0.7925300870448936,10.500287003664903,1.0,-9.70775691662001,11.292817090709796,0.0,0.0,1.0,0.025,-99
