id,t_score,u_score,p_t,p_u,p_u_thd_0.01
1110_232,8.64943363787126,89.5,2.381394108756274e-08,0.007903211515051732,1.0
1110_729,,,,1.0,0.0
1110_818,,,,1.0,0.0
1120_231,,,,1.0,0.0
1120_706,,,,1.0,0.0
1121_231,,,,1.0,0.0
1121_232,,,,1.0,0.0
1121_262,,,,1.0,0.0
1121_706,,,,1.0,0.0
1122_706,,,,1.0,0.0
1123_706,,,,1.0,0.0
1124_706,,,,1.0,0.0
1125_706,,,,1.0,0.0
1126_706,,,,1.0,0.0
1127_706,,,,1.0,0.0
1128_706,,,,1.0,0.0
1129_706,,,,1.0,0.0
1130_887,,,,1.0,0.0
1140_231,,,,1.0,0.0
1140_404,,,,1.0,0.0
1141_706,,,,1.0,0.0
1142_231,,,,1.0,0.0
1142_404,,,,1.0,0.0
1142_706,,,,1.0,0.0
1143_706,,,,1.0,0.0
1144_231,,,,1.0,0.0
1144_404,,,,1.0,0.0
1144_706,,,,1.0,0.0
1145_706,,,,1.0,0.0
1146_706,,,,1.0,0.0
1147_231,,,,1.0,0.0
1147_706,,,,1.0,0.0
1148_231,,,,1.0,0.0
1149_231,3.0490200827219267,82.5,0.012001642743201018,0.029613094352645416,0.0
1149_706,,,,1.0,0.0
1151_834,,,,1.0,0.0
1152_404,,,,1.0,0.0
1152_834,,,,1.0,0.0
1153_404,7.228735485940916,91.5,3.800885548035762e-07,0.0026506384119339577,1.0
1154_231,7.244753301432646,92.5,1.0536795986339058e-06,0.004303876558312955,1.0
1154_404,0.5000461182644493,-52.5,0.6399964760194565,0.8918594638362826,0.0
1154_728,,,,1.0,0.0
1154_800,,,,1.0,0.0
1155_231,,,,1.0,0.0
1155_404,,,,1.0,0.0
1155_728,,,,1.0,0.0
1155_800,,,,1.0,0.0
1156_231,,,,1.0,0.0
1156_404,,,,1.0,0.0
1157_231,4.446008250608249,95.5,0.0038412753174088365,0.0022214145869887034,1.0
1157_262,,,,1.0,0.0
1157_706,,,,1.0,0.0
1158_231,,,,1.0,0.0
1158_232,,,,1.0,0.0
1159_231,,,,1.0,0.0
1159_262,,,,1.0,0.0
1160_834,,,,1.0,0.0
1160_894,,,,1.0,0.0
1170_454,,,,1.0,0.0
1170_508,,,,1.0,0.0
1171_404,,,,1.0,0.0
1171_706,,,,1.0,0.0
1172_404,-0.7397684878249657,-41.5,0.4893084728726175,0.5865744278376042,0.0
1173_404,,,,1.0,0.0
1173_834,0.860339042413575,63.5,0.4318313593741287,0.37686571143689396,0.0
1174_834,1.1336142930424742,64.5,0.2950451670782681,0.3412684763150512,0.0
1175_834,,,,1.0,0.0
1176_454,,,,1.0,0.0
1176_508,,,,1.0,0.0
1176_834,,,,1.0,0.0
1177_508,-3.8721100097648486,-5.5,0.00992019066679198,0.002781224934389138,1.0
1178_508,,,,1.0,0.0
1179_508,4.501000513781114,93.5,0.0015242782802675026,0.003467193190765815,1.0
1210_508,,,,1.0,0.0
1221_508,,,,1.0,0.0
1222_454,,,,1.0,0.0
1222_508,,,,1.0,0.0
1222_834,,,,1.0,0.0
1222_894,,,,1.0,0.0
1223_454,,,,1.0,0.0
1223_508,-0.41242745679379245,-33.5,0.6937528141195994,0.27676572286017653,0.0
1223_716,-1.0793071412825306,-34.5,0.3248141418722205,0.307900293130149,0.0
1223_894,,,,1.0,0.0
1224_180,,,,1.0,0.0
1224_454,,,,1.0,0.0
1224_508,,,,1.0,0.0
1224_894,-2.57620702701621,-21.5,0.03179295304693632,0.05699830641051993,0.0
1225_508,,,,1.0,0.0
1225_716,,,,1.0,0.0
1225_894,-2.7324871750198474,-31.5,0.012894162653203582,0.2207603920495922,0.0
1226_180,,,,1.0,0.0
1226_894,-1.2112517175063564,-26.5,0.27117517900111665,0.11794806736103866,0.0
1227_716,-2.623565355577803,-20.5,0.03131717801472958,0.048689610702269216,0.0
1227_72,,,,1.0,0.0
1227_894,-2.717604250320685,-24.5,0.024501624867134336,0.08924454710859073,0.0
1228_24,,,,1.0,0.0
1228_516,,,,1.0,0.0
1228_72,,,,1.0,0.0
1228_894,,,,1.0,0.0
1229_180,,,,1.0,0.0
1229_24,,,,1.0,0.0
1229_516,,,,1.0,0.0
1229_894,4.710600475150509,95.5,0.002979480941124668,0.00198520636072934,1.0
1230_508,2.711400995943258,74.5,0.013806454444280749,0.10280164223951978,0.0
1230_716,1.4587933599690548,67.5,0.19612694354982219,0.24784912392821346,0.0
1241_508,,,,1.0,0.0
1242_508,,,,1.0,0.0
1242_716,,,,1.0,0.0
1243_508,,,,1.0,0.0
1244_508,0.868484928227277,-45.5,0.3988476282039707,0.7856962962493347,0.0
1244_710,-1.9685264061906265,-33.5,0.07038332115447177,0.27676572286017653,0.0
1245_508,,,,1.0,0.0
1245_710,3.124998040318088,74.5,0.004766063468283003,0.10280164223951978,0.0
1245_716,-0.12765010635261376,53.5,0.9038705414169413,0.838410115171209,0.0
1246_716,0.6079491429924008,59.5,0.5696911232842056,0.5406815690956761,0.0
1246_72,6.016797119408538,87.5,4.641013644872313e-06,0.011899644584157432,0.0
1247_710,,,,1.0,0.0
1247_716,,,,1.0,0.0
1247_72,,,,1.0,0.0
1248_72,6.0945726118505075,91.5,9.687786145640962e-06,0.005319686062957794,1.0
1249_710,-1.9050661719819149,-26.5,0.09536542497233917,0.11794806736103866,0.0
1249_72,2.1197014931755254,63.5,0.04616254962238891,0.37686571143689396,0.0
1251_508,,,,1.0,0.0
1252_508,-1.6424483625566506,-23.5,0.15276419529880675,0.0771659313616824,0.0
1252_710,-0.320206412498336,-44.5,0.7549208002291068,0.7339474627492532,0.0
1252_748,0.9283326928450167,53.5,0.36979334444320455,0.838410115171209,0.0
1253_508,-2.2868374759469576,-23.5,0.06656957346505496,0.0771659313616824,0.0
1253_710,,,,1.0,0.0
1253_748,-0.23142361164514325,-41.5,0.8218617115632033,0.5865744278376042,0.0
1254_508,,,,1.0,0.0
1254_710,-5.157750147016251,-10.5,0.00011596576598481796,0.008024002332133759,1.0
1254_748,2.202304228950145,63.5,0.03875833836310061,0.37686571143689396,0.0
1255_426,,,,1.0,0.0
1255_508,,,,1.0,0.0
1255_710,-3.90212769542961,-13.5,0.001134826033400431,0.014399864726701132,0.0
1256_710,-4.303145057042076,-4.5,0.0002647876357132722,0.0022214145869887034,1.0
1257_710,-5.6174308411986535,-4.5,0.00014271845559332184,0.0022214145869887034,1.0
1258_710,-6.337480008071477,-10.5,2.199643801865838e-06,0.008024002332133759,1.0
1259_710,-1.4812536373794594,-27.5,0.19452255120583872,0.13479216155813392,0.0
1260_710,-1.1924493405482477,40.5,0.24750435677708207,0.5406815690956761,0.0
1271_516,,,,1.0,0.0
1271_710,,,,1.0,0.0
1272_516,-1.2178988561470723,-29.5,0.2760198211533381,0.17398281795260206,0.0
1273_516,1.1237661377193628,67.0,0.3085339594813276,0.26028106067791157,0.0
1273_710,,,,1.0,0.0
1274_516,-0.817301362397099,-36.5,0.4407520238032999,0.37686571143689396,0.0
1274_710,-4.192427482534553,-20.0,0.0004937736429021645,0.029389334681152533,0.0
1274_72,,,,1.0,0.0
1275_710,,,,1.0,0.0
1276_710,-0.914345672764248,-40.5,0.40044615966640906,0.5406815690956761,0.0
1277_710,-4.107146759226895,-12.5,0.000599877210777401,0.009392587803691602,1.0
1278_426,-1.9841326322631645,-21.5,0.09622386189151816,0.05699830641051993,0.0
1278_710,-0.8831296651090144,-37.5,0.40708044332349014,0.4146659024229229,0.0
1279_426,,,,1.0,0.0
1279_710,0.34900101911720965,-51.5,0.7351895033309698,0.9458048585528951,0.0
1280_516,-2.300659068300964,-23.5,0.052706300372344625,0.0771659313616824,0.0
1290_24,,,,1.0,0.0
1290_516,-5.559398845629098,-13.5,1.2382460869340815e-05,0.014399864726701132,0.0
1291_716,-0.3253893285922427,-46.5,0.7567773228217078,0.838410115171209,0.0
1291_72,,,,1.0,0.0
1292_516,,,,1.0,0.0
1292_72,,,,1.0,0.0
1293_516,,,,1.0,0.0
1293_716,,,,1.0,0.0
1293_72,,,,1.0,0.0
1294_516,,,,1.0,0.0
1294_72,,,,1.0,0.0
1295_24,,,,1.0,0.0
1295_516,,,,1.0,0.0
1295_716,,,,1.0,0.0
1295_72,,,,1.0,0.0
1296_24,,,,1.0,0.0
1297_24,,,,1.0,0.0
1297_516,,,,1.0,0.0
1298_516,0.27891460348380676,-44.5,0.7918502575161134,0.7338981681900745,0.0
1299_24,,,,1.0,0.0
1299_516,,,,1.0,0.0
1311_516,,,,1.0,0.0
1312_24,0.2656781149656561,54.5,0.7993954990922609,0.7856962962493347,0.0
1312_516,,,,1.0,0.0
1313_24,-1.8762048565786837,-14.5,0.12504615224735702,0.017352389190761427,0.0
1314_24,,,,1.0,0.0
1315_24,,,,1.0,0.0
1316_24,3.7514385811441517,76.5,0.0013760823475140926,0.0566520772051977,0.0
1317_24,,,,1.0,0.0
1318_24,2.164204798963902,83.5,0.08637920551895029,0.02488372328270136,0.0
1319_24,-1.5382885489862752,-35.5,0.14073722678818756,0.3412684763150512,0.0
1321_178,,,,1.0,0.0
1321_180,,,,1.0,0.0
1321_24,,,,1.0,0.0
1322_180,,,,1.0,0.0
1322_24,2.720207617331924,75.5,0.015524576209513554,0.08899811266733593,0.0
1323_178,4.778452086597281,79.5,9.21101698778428e-05,0.048689610702269216,0.0
1323_180,,,,1.0,0.0
1323_266,,,,1.0,0.0
1324_120,,,,1.0,0.0
1324_140,,,,1.0,0.0
1324_178,,,,1.0,0.0
1324_266,,,,1.0,0.0
1325_178,,,,1.0,0.0
1325_180,,,,1.0,0.0
1326_140,,,,1.0,0.0
1326_178,,,,1.0,0.0
1326_180,,,,1.0,0.0
1326_728,,,,1.0,0.0
1326_729,,,,1.0,0.0
1326_800,,,,1.0,0.0
1327_180,,,,1.0,0.0
1328_108,,,,1.0,0.0
1328_180,-2.1965382496772885,-20.5,0.07799943346341769,0.048689610702269216,0.0
1328_646,-0.8233110322792299,-38.5,0.45016784655504477,0.4546204062737812,0.0
1328_834,,,,1.0,0.0
1328_894,-0.35359019804968944,-38.5,0.7321131616443641,0.4546204062737812,0.0
1329_180,-4.032762010339107,-13.5,0.0009703940815934784,0.014399864726701132,0.0
1329_454,,,,1.0,0.0
1329_834,,,,1.0,0.0
1329_894,4.063090721849483,80.5,0.0009872239825952553,0.03304314607321628,0.0
1331_178,,,,1.0,0.0
1331_180,,,,1.0,0.0
1331_24,,,,1.0,0.0
1332_178,,,,1.0,0.0
1332_180,,,,1.0,0.0
1332_266,,,,1.0,0.0
1333_178,,,,1.0,0.0
1333_266,,,,1.0,0.0
1334_120,,,,1.0,0.0
1334_178,,,,1.0,0.0
1334_226,,,,1.0,0.0
1334_266,5.471644162939757,92.5,0.0003897994174799358,0.004303876558312955,1.0
1335_120,,,,1.0,0.0
1335_226,,,,1.0,0.0
1335_266,-0.004757166459226187,-42.5,0.9962469959288296,0.6341948173294822,0.0
1336_120,7.080182181096579,95.5,1.558353725706742e-05,0.0022214145869887034,1.0
1336_140,,,,1.0,0.0
1336_566,,,,1.0,0.0
1337_120,,,,1.0,0.0
1337_566,,,,1.0,0.0
1338_120,,,,1.0,0.0
1338_566,-5.573322047176174,-17.5,2.246051246371968e-05,0.019930297799056414,0.0
1339_566,,,,1.0,0.0
1340_226,,,,1.0,0.0
1340_678,,,,1.0,0.0
1410_566,,,,1.0,0.0
1421_566,,,,1.0,0.0
1422_120,-5.303560157437687,-11.5,0.00020134952974251865,0.00979219587072503,1.0
1422_148,,,,1.0,0.0
1422_566,1.007545244532689,65.5,0.36739234729270265,0.307900293130149,0.0
1423_204,,,,1.0,0.0
1423_566,7.645395224511517,92.5,1.622197647972407e-07,0.004303876558312955,1.0
1424_562,,,,1.0,0.0
1424_566,0.7290571218826548,58.5,0.4973320978643042,0.5865744278376042,0.0
1425_204,,,,1.0,0.0
1425_562,,,,1.0,0.0
1425_566,,,,1.0,0.0
1426_12,,,,1.0,0.0
1426_466,,,,1.0,0.0
1426_562,,,,1.0,0.0
1427_12,,,,1.0,0.0
1427_204,,,,1.0,0.0
1427_466,,,,1.0,0.0
1427_478,,,,1.0,0.0
1427_562,,,,1.0,0.0
1427_854,-2.327502016424607,-18.5,0.06881167968783054,0.035095797419284286,0.0
1428_324,,,,1.0,0.0
1428_384,-1.4161869909322202,-27.5,0.20950572304856388,0.13479216155813392,0.0
1428_466,,,,1.0,0.0
1428_854,,,,1.0,0.0
1429_324,2.0641604662561552,78.5,0.09025190001709056,0.05699830641051993,0.0
1429_384,,,,1.0,0.0
1429_466,6.891860855563322,86.5,6.341230017566722e-07,0.014399864726701132,0.0
1429_694,,,,1.0,0.0
