id_bgl,basin_level,start_year,t_score,u_score,p_t,p_u,sign_diff,delta
4,0,2017,1.1740732386694042,63.5,0.2754773531162165,0.37686571143689396,1.0,10.281092434402462
8,0,2017,2.4574197222240977,83.5,0.048407959987292734,0.02488372328270136,1.0,35.94088095238418
12,0,2017,1.7547599344099896,71.5,0.11589341037497217,0.1534378834105726,1.0,7.257956852577947
16,0,2017,,50.0,,1.0,,0.0
20,0,2017,,50.0,,1.0,,0.0
24,0,2017,4.6238972814998265,88.5,0.0010139131683988482,0.00979219587072503,1.0,112.36999345047143
28,0,2017,,50.0,,1.0,,0.0
31,0,2017,3.8740249699584797,87.5,0.003398715915908429,0.011899644584157432,1.0,31.279403935749134
32,0,2017,-0.352070740843391,44.5,0.7372539486066441,0.7339474627492532,1.0,0.8263401332407836
36,0,2017,0.07740142963881122,52.5,0.9402755454453786,0.8918594638362826,1.0,3.3591582728841907
40,0,2017,5.898585819847805,93.5,6.307463364319566e-06,0.003467193190765815,1.0,16.08558904888209
44,0,2017,,50.0,,1.0,,0.0
48,0,2017,,50.0,,1.0,,0.0
50,0,2017,3.7473459466190926,81.5,0.001177373172215771,0.035095797419284286,1.0,12.149700903777736
51,0,2017,6.243625661346849,94.5,3.3593467317392188e-06,0.002781224934389138,1.0,33.36126621132676
52,0,2017,,50.0,,1.0,,0.0
56,0,2017,4.557935734105892,88.5,0.0003255072218548601,0.00979219587072503,1.0,38.26361547380867
60,0,2017,,50.0,,1.0,,0.0
64,0,2017,-0.7290283884817486,41.5,0.4751895990780065,0.5865744278376042,-1.0,-10.714683247786997
68,0,2017,2.2930566647917723,83.5,0.06363087163070574,0.02488372328270136,1.0,12.761406080799437
70,0,2017,1.8795690130562375,76.5,0.11811350478291423,0.0771659313616824,1.0,17.005168184000564
72,0,2017,4.779777763291415,86.5,0.00016864134794676314,0.014399864726701132,1.0,79.14172624475717
76,0,2017,1.317465698669815,69.5,0.24885575805885385,0.1965160943128864,1.0,2.284808912077373
84,0,2017,2.4130335288581883,64.5,0.025273408145734963,0.3412684763150512,1.0,6.560239104760028
90,0,2017,,50.0,,1.0,,0.0
92,0,2017,,50.0,,1.0,,0.0
96,0,2017,,50.0,,1.0,,0.0
100,0,2017,3.8197348068519235,89.5,0.0045052538902972394,0.008024002332133759,1.0,24.81614742943354
104,0,2017,1.952172262850261,73.5,0.07461878716466468,0.11794806736103866,1.0,13.058374861402438
108,0,2017,,50.0,,1.0,,0.0
