M49Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
4,17379560,17690580,18010448,18346459,18690323,19046471,19415201,19797596,20194853,20606887,21027844,21464038,21918582,22382334,22863985,23359733,23872910,24401574,24946802,25509211,26091229
8,2691408,2651127,2614084,2579791,2548640,2520371,2494772,2471904,2451937,2433731,2418086,2405714,2395535,2387543,2382675,2380092,2380166,2383627,2389086,2398144,2410201
12,25662642,26048819,26446229,26860527,27300513,27750404,28218336,28711723,29222993,29767404,30329444,30918941,31527879,32177616,32867076,33589648,34349776,35158502,36016391,36932764,37912069
16,45326,45155,45020,44865,44723,44685,44443,44512,44350,44223,44235,44242,44439,44516,44546,44686,44736,44801,44877,44907,45285
20,56472,57812,59244,60668,62140,63784,65464,67041,68949,70914,72787,74866,76764,79029,81521,83822,86421,89052,91853,94833,97887
24,17423400,17218041,17063596,16965250,16921863,16939405,17019267,17168267,17396939,17710428,18114826,18633285,19262576,20033337,20955857,22056866,23358751,24893420,26701999,28809749,31293350
28,63798,64336,64947,65617,66236,66959,67689,68511,69240,70108,70924,71881,72917,73831,74850,75901,76921,78061,79196,80415,81676
31,6896952,6974476,7051134,7128735,7207679,7288859,7373766,7459450,7542381,7634171,7724411,7819085,7911548,8008911,8109920,8213585,8320169,8429376,8541230,8658964,8778881
32,30552559,30888790,31230049,31571631,31924052,32287369,32651554,33011596,33400337,33788041,34206508,34591681,35005366,35421921,35864034,36299385,36737606,37194543,37651948,38132107,38612188
36,18212114,18212694,18214309,18215703,18216932,18217043,18218292,18217520,18218891,18218302,18216654,18216044,18213816,18212319,18216792,18218366,18219930,18221874,18224544,18224645,18225421
40,6892427,6922972,6952031,6981552,7012177,7043539,7074941,7107512,7139644,7172414,7205653,7239849,7272310,7307194,7343115,7379054,7414904,7451933,7489459,7527219,7565439
44,242811,246460,249948,253857,257729,261387,264793,268598,272896,277319,281886,285964,289652,294184,298790,303508,307986,313109,317891,323086,328048
48,464004,492576,523864,562816,595284,635128,680764,727121,772557,825662,885647,940260,999727,1066446,1145113,1226384,1298498,1388009,1484474,1594328,1684465
50,103969506,106179472,107700800,109258642,110848235,112494553,114144680,115843531,117600692,119392929,120465887,123108764,124199224,126891090,128074369,130905164,132921699,135026313,137213391,139457215,141716854
51,2610814,2597332,2584176,2572274,2560903,2551526,2538577,2526205,2516313,2505622,2495311,2483575,2473948,2464328,2455076,2445330,2436494,2427814,2419638,2411062,2402143
52,224669,225073,225990,226671,227386,228069,228773,229846,230641,232069,233061,233989,234149,234817,235895,236864,237799,239023,239942,241093,242226
56,8753953,8813021,8869904,8926580,8983462,9041493,9100447,9159256,9218684,9280867,9341904,9402747,9464225,9527803,9590299,9654543,9719844,9786029,9851721,9918194,9985830
60,46963,47249,47375,47710,47843,47967,48148,48288,48566,48663,48807,49053,49680,50032,50252,50432,50672,50876,51016,51200,51425
64,502943,512041,521488,531695,541612,551691,561714,572022,582528,593385,603690,614992,627427,638292,650432,662680,675055,688110,700627,713485,727924
68,7007612,7121198,7239175,7360516,7485200,7616317,7750597,7890005,8034078,8181537,8334410,8494689,8659113,8828344,9005370,9187190,9377828,9574442,9778100,9989557,10208881
70,3380643,3350314,3320972,3289563,3260934,3232441,3203064,3176697,3150111,3125134,3096125,3074359,3048467,3024325,2999991,2977402,2954545,2933272,2911546,2891485,2871073
72,1418596,1444477,1471111,1498499,1526125,1554378,1583634,1613369,1643638,1674768,1706578,1739403,1772958,1807068,1841770,1877401,1913743,1950973,1988932,2028186,2067826
76,145722911,147338180,148991960,150676352,152413253,154182104,155991509,157842953,159739656,161681411,163662818,165697672,167776853,169909994,172094743,174329876,176624936,178977500,181390284,183864976,186405216
84,214156,219398,225249,231065,237120,243310,249650,256138,262977,269840,277198,284390,291447,299156,307184,315454,323717,332472,341248,350627,359751
90,279212,289318,296245,302988,311947,319679,329760,336395,345821,354573,363512,372865,381926,393590,402707,411794,422134,435289,445023,459715,469748
92,17780,18189,18554,18958,19364,19814,20260,20700,21166,21640,22175,22717,23276,23757,24203,24755,25312,25849,26415,27017,27578
96,284401,289312,294676,299575,304750,308862,314179,319185,324917,330925,336969,342434,349257,354427,360183,365960,372048,377924,384547,391318,397501
100,6816199,6763501,6712845,6661273,6609681,6560628,6511175,6462297,6416361,6371191,6329377,6285607,6241115,6197218,6158532,6119677,6081596,6043700,6008172,5969993,5935296
104,53700711,52221355,50916847,49765856,48746745,47843896,47038960,46328562,45698629,45148912,44636621,44181154,43774430,43405339,43061842,42762213,42479344,42231496,42004576,41800477,41613225
108,5702632,5833860,5969581,6111664,6259763,6414820,6576083,6744008,6921047,7103809,7295892,7495939,7704960,7924255,8154044,8393081,8642548,8904751,9178218,9466143,9765659
112,8606839,8552120,8501614,8450930,8403831,8357368,8313416,8269953,8229647,8189829,8153804,8119848,8085697,8053985,8026053,7998584,7973117,7950940,7929874,7912334,7896053
116,10125093,10256644,10401440,10554191,10720219,10893444,11083412,11286608,11506143,11745896,12007163,12294528,12600000,12947254,13327294,13751055,14226120,14759496,15364391,16049027,16829619
120,12922431,13299416,13699672,14116012,14541710,14989975,15452416,15930137,16431085,16952457,17486902,18053550,18631515,19233744,19862938,20513672,21195591,21901819,22642772,23407356,24204278
124,25324941,25602107,25881188,26168308,26459230,26757371,27059999,27368040,27682041,28002659,28329370,28661793,29001067,29346048,29697788,30057529,30423698,30797073,31177734,31565791,31961679
132,772185,775634,781666,787537,792405,797449,803532,809729,815874,821861,830331,836927,843881,852027,860841,869544,878951,888031,898900,909141,920668
136,32486,33527,34519,35688,36765,37931,39070,40335,41726,43032,44546,45830,47477,49164,50886,52603,54346,56329,58166,60175,62243
140,3093565,3156043,3218457,3285599,3350424,3417025,3487073,3559318,3629222,3701339,3774972,3850660,3931931,4012029,4094196,4176243,4260590,4345150,4434767,4524299,4615234
144,16042910,16133335,16217132,16311543,16403716,16503620,16619582,16717793,16825662,16938002,17045602,17172593,17316399,17432638,17563939,17702268,17832376,17972869,18112046,18259066,18407150
148,6872667,7119396,7373935,7640241,7916741,8202060,8501530,8812966,9134819,9469512,9821333,10184810,10567183,10963879,11375129,11805996,12253541,12721715,13206354,13714294,14243474
152,12571141,12734440,12905345,13082730,13272957,13472680,13673704,13889648,14117669,14352193,14593174,14858402,15124286,15403612,15702682,16011566,16336261,16674309,17030226,17402212,17790254
156,1068695953,1075243505,1082024111,1088906064,1095866661,1102865820,1110539180,1118147905,1125913128,1134077954,1142224118,1150794184,1159303546,1168257721,1177342973,1186713427,1196295869,1206180516,1216354046,1226674917,1237358720
162,1307,1274,1349,1295,1317,1318,1261,1289,1316,1321,1256,1246,1237,1214,1199,1204,1228,1254,1265,1255,1246
166,247,261,284,281,269,271,276,281,289,282,275,271,277,274,280,281,296,294,292,285,282
170,32852511,33582119,34342892,35123861,35934994,36776819,37646196,38546921,39481106,40456701,41471372,42520580,43613773,44750998,45941600,47175005,48476635,49835588,51263679,52757766,54345383
174,437844,447270,459205,470640,483411,495523,508627,520966,535135,549330,562661,578658,593095,607246,622971,640660,656132,674354,692017,710278,728344
175,112893,116095,119047,122431,125847,129051,133016,137025,141330,144690,149495,153851,158419,162926,167373,172912,177861,184187,189182,195703,201723
178,4054541,3847860,3672085,3526098,3402201,3303534,3213638,3141319,3086135,3046627,3014132,2996705,2991189,2996534,3014126,3046901,3093661,3155937,3233415,3335383,3453452
180,39370014,41022816,42764520,44593711,46529054,48565313,50727285,53007897,55417292,57959212,60661365,63508348,66532200,69728326,73124014,76727308,80557058,84620974,88941067,93535645,98430917
184,9496,9608,9414,9523,9526,9546,9712,9761,9714,9813,9795,9794,9604,9650,9739,9761,9843,9822,9926,9957,10024
188,3272563,3305903,3339694,3375417,3410928,3448081,3486552,3526544,3566953,3607667,3650605,3695072,3740194,3786068,3833430,3882056,3933113,3985088,4038465,4092903,4149289
191,3793231,3775592,3758867,3742481,3728806,3714030,3703246,3686127,3673558,3652828,3641955,3628689,3616073,3602404,3591244,3582271,3569550,3560268,3551492,3540723,3529983
192,9585048,9578258,9576338,9574535,9573328,9570506,9567887,9566788,9567020,9568239,9568166,9568087,9567159,9568296,9571310,9572591,9575473,9577781,9581216,9584681,9589177
196,767152,781781,795455,810312,825908,841156,857711,874667,891300,908661,927400,945220,966229,986557,1007222,1028963,1050441,1073633,1097504,1121777,1147215
203,8804433,8814785,8826637,8839836,8855079,8869978,8885924,8903700,8922716,8945138,8967232,8991991,9018050,9045923,9077531,9111544,9146453,9185044,9227300,9272895,9323185
204,5443980,5632561,5825042,6026376,6237027,6460061,6688503,6929382,7180083,7440713,7711677,7997503,8296968,8607168,8931782,9274198,9631455,10004277,10394636,10802971,11230418
208,4404679,4422862,4440187,4459821,4480724,4502912,4524626,4547726,4573128,4599238,4626906,4652475,4684842,4716452,4748369,4782583,4817881,4854516,4892048,4932784,4974975
212,59628,59547,59592,59314,59323,59293,59231,59253,59203,59094,59061,59084,58799,58691,58759,58785,58715,58667,58710,58745,58792
214,6706824,6814969,6928851,7051395,7178599,7313445,7453375,7604893,7759903,7919524,8092611,8273536,8463702,8664820,8875086,9096978,9327664,9575119,9832197,10109045,10397555
218,10238226,10439303,10644668,10854067,11068366,11286314,11510431,11737745,11969197,12206778,12450230,12700395,12959011,13220521,13483522,13755011,14034934,14317357,14607544,14904333,15206962
222,4646878,4684033,4723165,4763429,4804768,4849225,4895306,4943000,4993175,5046300,5101384,5158466,5213920,5277253,5343826,5412210,5484833,5560895,5640703,5725398,5814029
226,849052,859391,870628,883078,895294,906593,917932,930333,943554,957313,968250,981439,994795,1008874,1021155,1037144,1049216,1063761,1077636,1093453,1106793
231,52781419,54178755,55617160,57091122,58611609,60168995,61767145,63409704,65106132,66832937,68617364,70454310,72336423,74269669,76251768,78286283,80368062,82522814,84731097,87008558,89347177
232,2703858,2740694,2778949,2817929,2854070,2891690,2932135,2973606,3009096,3059406,3100717,3144503,3194373,3240598,3291671,3339499,3387778,3439546,3490949,3543877,3599146
233,1210063,1186318,1167399,1152117,1139471,1129504,1121373,1115240,1111450,1109249,1107768,1108567,1110747,1114864,1120131,1128251,1138117,1150073,1164697,1181978,1203321
234,32987,33510,33678,33889,34113,34085,34439,34443,35207,34838,35305,35879,35999,36355,36514,36837,37323,37763,38098,38725,39034
238,2093,2002,2125,1999,2082,1926,1897,1844,1883,1896,1981,1835,1242,1165,1283,1235,1243,1302,1141,1125,1185
239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242,648227,653897,658963,663898,668906,674274,678940,684095,689749,695282,700895,706717,713047,719115,724967,731341,737486,743988,750371,757100,763987
246,4403050,4418843,4435303,4452745,4469694,4487153,4505169,4524090,4544406,4563797,4583011,4605392,4627620,4650082,4672409,4695935,4719973,4744363,4769189,4794530,4820809
248,20531,20780,20947,21129,21299,21496,21661,21760,22064,22245,22424,22669,22939,23136,23414,23579,23805,24031,24239,24523,24722
250,50397206,50699856,51021550,51347789,51684512,52017436,52369043,52725425,53090613,53462006,53843255,54232417,54621960,55037878,55455853,55886094,56332927,56782428,57244114,57718631,58206374
254,137127,141971,146954,152194,157695,163518,169850,176490,183092,190518,198088,205892,214116,222895,232349,242511,252579,263586,275199,287303,300150
258,181981,184545,186661,188063,190535,192779,194942,197275,200220,202164,205131,207814,209352,211590,214416,217305,220222,223820,226821,229389,232491
262,528466,543742,559895,576833,594532,613077,632619,652252,672717,694348,716904,739807,762904,787675,812998,840392,868190,898053,928284,959988,992478
266,1133745,1174863,1221539,1272223,1320952,1372429,1426147,1484368,1544488,1609491,1671929,1742209,1817550,1894372,1972531,2060359,2147524,2241922,2337749,2446366,2556331
268,4025355,3969992,3915837,3865179,3814839,3765581,3718108,3673270,3629713,3586371,3545087,3506345,3466719,3429495,3393411,3360211,3326650,3295208,3264055,3234523,3205849
270,1068652,1099157,1132125,1166763,1202780,1241445,1283218,1325184,1368307,1412898,1460631,1509279,1562748,1615511,1673585,1734345,1798280,1868513,1941633,2015761,2090993
